,season,week,pollster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
7844,2020,17,doug-doughty,,,,,,,,,,,,,,,,,,,,,,,,,
7845,2020,18,doug-doughty,,,,,,,,,,,,,,,,,,,,,,,,,
7846,2020,19,doug-doughty,,,,,,,,,,,,,,,,,,,,,,,,,
7847,2020,1,jack-ebling,gonzaga,baylor,virginia,iowa,villanova,wisconsin,kansas,michigan-state,duke,illinois,creighton,kentucky,tennessee,north-carolina,west-virginia,ohio-state,arizona-state,michigan,memphis,rutgers,texas,indiana,lsu,texas-tech,houston
7848,2020,2,jack-ebling,gonzaga,baylor,iowa,wisconsin,michigan-state,duke,kansas,illinois,creighton,tennessee,virginia,villanova,houston,north-carolina,west-virginia,ohio-state,arizona-state,rutgers,texas,kentucky,oregon,indiana,lsu,texas-tech,florida-state
7849,2020,3,jack-ebling,,,,,,,,,,,,,,,,,,,,,,,,,
7850,2020,4,jack-ebling,gonzaga,baylor,iowa,michigan-state,kansas,creighton,wisconsin,houston,villanova,west-virginia,virginia,texas,texas-tech,rutgers,ohio-state,illinois,florida-state,san-diego-state,richmond,louisville,arizona,georgia,arkansas,michigan,minnesota
7851,2020,5,jack-ebling,gonzaga,baylor,kansas,iowa,wisconsin,villanova,houston,west-virginia,tennessee,rutgers,texas,missouri,xavier,michigan-state,texas-tech,virginia-tech,virginia,illinois,creighton,duke,north-carolina,richmond,georgia,arkansas,michigan
7852,2020,6,jack-ebling,gonzaga,baylor,kansas,villanova,wisconsin,houston,tennessee,west-virginia,iowa,texas,creighton,missouri,virginia-tech,illinois,texas-tech,northwestern,rutgers,xavier,michigan-state,georgia,arkansas,michigan,florida-state,boise-state,oregon
7853,2020,7,jack-ebling,gonzaga,baylor,villanova,texas,iowa,creighton,tennessee,wisconsin,kansas,houston,michigan,missouri,virginia-tech,illinois,west-virginia,texas-tech,rutgers,oregon,minnesota,clemson,virginia,florida-state,drake,boise-state,michigan-state
7854,2020,8,jack-ebling,gonzaga,baylor,villanova,texas,michigan,iowa,creighton,tennessee,wisconsin,kansas,houston,texas-tech,clemson,drake,west-virginia,missouri,illinois,ucla,virginia-tech,virginia,florida-state,boise-state,saint-louis,oregon,duke
7855,2020,9,jack-ebling,gonzaga,baylor,villanova,texas,iowa,michigan,tennessee,houston,texas-tech,kansas,creighton,wisconsin,drake,virginia,virginia-tech,missouri,west-virginia,ucla,ohio-state,minnesota,clemson,boise-state,saint-louis,oregon,florida-state
7856,2020,10,jack-ebling,gonzaga,baylor,villanova,texas,michigan,houston,virginia,iowa,texas-tech,missouri,alabama,creighton,drake,west-virginia,tennessee,ohio-state,wisconsin,florida-state,virginia-tech,kansas,ucla,boise-state,saint-louis,xavier,oklahoma
7857,2020,11,jack-ebling,gonzaga,baylor,villanova,michigan,houston,texas,oklahoma,iowa,virginia-tech,virginia,alabama,texas-tech,west-virginia,drake,ohio-state,missouri,tennessee,creighton,florida-state,illinois,ucla,boise-state,wisconsin,xavier,oklahoma-state
7858,2020,12,jack-ebling,gonzaga,baylor,michigan,villanova,ohio-state,houston,virginia,oklahoma,virginia-tech,texas,missouri,texas-tech,west-virginia,illinois,alabama,tennessee,florida-state,iowa,creighton,usc,oklahoma-state,xavier,ucla,kansas,drake
7859,2020,13,jack-ebling,gonzaga,baylor,michigan,ohio-state,villanova,houston,virginia,oklahoma,virginia-tech,creighton,illinois,iowa,west-virginia,texas-tech,texas,alabama,tennessee,florida-state,usc,missouri,loyola,xavier,ucla,kansas,drake
7860,2020,14,jack-ebling,gonzaga,baylor,michigan,ohio-state,villanova,illinois,oklahoma,iowa,florida-state,alabama,virginia-tech,creighton,west-virginia,houston,virginia,san-diego-state,usc,kansas,texas-tech,texas,loyola,ucla,arkansas,xavier,drake
7861,2020,15,jack-ebling,gonzaga,michigan,baylor,illinois,west-virginia,houston,iowa,ohio-state,alabama,arkansas,villanova,florida-state,oklahoma,oklahoma-state,kansas,texas-tech,texas,virginia-tech,virginia,creighton,colorado,san-diego-state,loyola,purdue,drake
7862,2020,16,jack-ebling,gonzaga,baylor,illinois,michigan,iowa,houston,alabama,arkansas,ohio-state,west-virginia,oklahoma-state,kansas,texas,virginia,florida-state,villanova,texas-tech,san-diego-state,loyola,virginia-tech,creighton,colorado,purdue,oklahoma,usc
7863,2020,17,jack-ebling,gonzaga,baylor,illinois,michigan,houston,alabama,iowa,ohio-state,arkansas,oklahoma-state,texas,kansas,west-virginia,virginia,florida-state,purdue,villanova,san-diego-state,loyola,creighton,tennessee,colorado,texas-tech,byu,usc
7864,2020,18,jack-ebling,gonzaga,baylor,illinois,michigan,houston,alabama,iowa,ohio-state,arkansas,oklahoma-state,texas,kansas,west-virginia,virginia,florida-state,purdue,villanova,san-diego-state,loyola,creighton,tennessee,colorado,texas-tech,byu,usc
7865,2020,19,jack-ebling,gonzaga,baylor,illinois,michigan,houston,alabama,iowa,ohio-state,arkansas,oklahoma-state,texas,kansas,west-virginia,virginia,florida-state,purdue,villanova,san-diego-state,loyola,creighton,tennessee,colorado,texas-tech,byu,usc
7866,2020,1,wayne-epps,gonzaga,baylor,villanova,kansas,virginia,wisconsin,duke,iowa,tennessee,illinois,creighton,kentucky,texas-tech,michigan-state,west-virginia,north-carolina,florida-state,houston,lsu,ucla,michigan,oregon,texas,ohio-state,arizona-state
