,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
101,391,1119,H,colorado-state,83.0,-1690,0.9441340782122905,2,W,1,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,586,1122,V,yale,69.0,845,0.10582010582010581,2,L,1,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,653,1122,H,colorado-state,95.0,-360,0.782608695652174,2,W,1,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,215,1116,H,old-dominion,77.0,-650,0.8666666666666667,2,W,2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,410,1119,N,oklahoma-state,69.0,-455,0.8198198198198198,2,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,
119,449,1120,N,oklahoma-state,68.0,-515,0.8373983739837398,2,L,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,
143,524,1121,N,old-dominion,39.0,340,0.22727272727272727,2,L,2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,606,1122,N,oklahoma-state,82.0,-160,0.6153846153846154,2,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,
163,622,1122,N,old-dominion,64.0,-125,0.5555555555555556,2,L,2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,323,1117,H,western-illinois,84.0,-330,0.7674418604651163,2,W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
150,576,1121,V,western-illinois,83.0,-225,0.6923076923076923,2,W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
63,273,1117,H,rhode-island,55.0,-115,0.5348837209302325,2,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,509,1121,H,rhode-island,73.0,-1100,0.9166666666666666,2,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,272,1117,V,valparaiso,58.0,105,0.4878048780487805,2,W,8,25.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,
98,386,1119,V,iowa,89.0,-175,0.6363636363636364,2,W,8,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,588,1122,V,valparaiso,67.0,240,0.29411764705882354,2,L,8,25.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,
67,283,1117,H,xavier,78.0,-1085,0.9156118143459916,2,W,10,,,,25.0,,,,,20.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,434,1120,V,xavier,86.0,185,0.3508771929824561,2,W,10,,,,25.0,,,,,20.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,459,1120,N,florida-state,77.0,-390,0.7959183673469388,2,L,10,,,,,,,,,,,,,,,,,22.0,23.0,,,25.0,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,535,1121,N,florida-state,83.0,-500,0.8333333333333334,2,W,10,,,,,,,,,,,,,,,,,22.0,23.0,,,25.0,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,275,1117,H,dayton,80.0,-625,0.8620689655172413,2,W,12,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,25.0,,,,,,23.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,
133,495,1121,H,dayton,69.0,-525,0.84,2,W,12,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,25.0,,,,,,23.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,
87,331,1118,H,providence,60.0,-310,0.7560975609756098,2,W,14,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,24.0,21.0,,,,,,,,,,,,,,,,,,21.0,,,,,,
139,511,1121,H,providence,94.0,-1550,0.9393939393939394,2,W,14,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,24.0,21.0,,,,,,,,,,,,,,,,,,21.0,,,,,,
83,319,1117,H,wisconsin,78.0,-16500,0.9939759036144579,2,W,25,,21.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,20.0,,,,,,,,,,21.0,,,,,,,,,,,,,
125,468,1120,N,wisconsin,61.0,-125,0.5555555555555556,2,L,25,,21.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,20.0,,,,,,,,,,21.0,,,,,,,,,,,,,
166,626,1122,N,wisconsin,74.0,-125,0.5555555555555556,2,W,25,,21.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,20.0,,,,,,,,,,21.0,,,,,,,,,,,,,
88,340,1118,V,cincinnati,83.0,-1020,0.9107142857142857,2,W,72,,,,,,20.0,,21.0,,,,,,,25.0,25.0,,,,,,,,,,,17.0,18.0,,,,,,,,,,25.0,,25.0,,,,18.0,,25.0,19.0,,,25.0,24.0,,,18.0,,,19.0,24.0,,,22.0,,,,,
50,219,1116,H,west-virginia,86.0,-835,0.893048128342246,2,W,78,,,,,,,23.0,,,,,22.0,,,,,,,,,,,,,25.0,21.0,,21.0,25.0,,,,,,22.0,,20.0,,,20.0,16.0,19.0,,,,,,,,21.0,21.0,,,15.0,,24.0,,,,23.0,,,,,,
155,589,1122,H,oregon,73.0,-290,0.7435897435897436,2,W,121,,22.0,23.0,,,,,,,25.0,20.0,,23.0,22.0,,,,18.0,,,,21.0,19.0,,,,,19.0,,16.0,,18.0,18.0,,,24.0,,,,,,,,,25.0,,23.0,23.0,19.0,,,,20.0,20.0,23.0,,,25.0,25.0,,,,25.0,22.0,17.0,
51,221,1116,H,michigan,88.0,-3000,0.967741935483871,2,W,141,,,25.0,,25.0,22.0,,,,19.0,,19.0,,,24.0,22.0,17.0,22.0,21.0,24.0,20.0,22.0,24.0,,24.0,,,,24.0,25.0,24.0,17.0,,21.0,24.0,23.0,,,25.0,24.0,25.0,,25.0,20.0,24.0,24.0,,,14.0,,,20.0,19.0,24.0,25.0,,,22.0,21.0,,,24.0,23.0,,,
113,435,1120,H,michigan,70.0,-225,0.6923076923076923,2,L,141,,,25.0,,25.0,22.0,,,,19.0,,19.0,,,24.0,22.0,17.0,22.0,21.0,24.0,20.0,22.0,24.0,,24.0,,,,24.0,25.0,24.0,17.0,,21.0,24.0,23.0,,,25.0,24.0,25.0,,25.0,20.0,24.0,24.0,,,14.0,,,20.0,19.0,24.0,25.0,,,22.0,21.0,,,24.0,23.0,,,
61,269,1116,H,lsu,91.0,-7000,0.9859154929577465,2,W,283,21.0,25.0,20.0,22.0,19.0,18.0,22.0,23.0,17.0,20.0,25.0,21.0,24.0,19.0,20.0,24.0,21.0,,18.0,20.0,23.0,24.0,17.0,,22.0,,19.0,25.0,16.0,,20.0,21.0,25.0,25.0,18.0,21.0,22.0,,18.0,22.0,22.0,,21.0,21.0,19.0,17.0,,24.0,,19.0,20.0,23.0,15.0,,,18.0,24.0,14.0,24.0,17.0,20.0,19.0,22.0,25.0,,
100,389,1119,H,lsu,78.0,-3000,0.967741935483871,2,W,283,21.0,25.0,20.0,22.0,19.0,18.0,22.0,23.0,17.0,20.0,25.0,21.0,24.0,19.0,20.0,24.0,21.0,,18.0,20.0,23.0,24.0,17.0,,22.0,,19.0,25.0,16.0,,20.0,21.0,25.0,25.0,18.0,21.0,22.0,,18.0,22.0,22.0,,21.0,21.0,19.0,17.0,,24.0,,19.0,20.0,23.0,15.0,,,18.0,24.0,14.0,24.0,17.0,20.0,19.0,22.0,25.0,,
104,402,1119,N,butler,93.0,-3365,0.9711399711399712,2,W,284,20.0,24.0,17.0,14.0,23.0,21.0,,25.0,21.0,16.0,21.0,24.0,25.0,,23.0,20.0,,,17.0,17.0,19.0,20.0,25.0,20.0,23.0,23.0,24.0,,20.0,23.0,23.0,20.0,21.0,22.0,19.0,18.0,,17.0,19.0,21.0,20.0,18.0,24.0,17.0,20.0,18.0,22.0,25.0,24.0,24.0,22.0,25.0,,,22.0,22.0,25.0,,22.0,25.0,21.0,20.0,24.0,14.0,13.0,
