,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
65,251,1113,H,xavier,101,NL,0.5,1,W,544,18.0,18.0,20.0,16.0,18.0,20.0,21.0,23.0,18.0,16.0,19.0,17.0,,13.0,25.0,15.0,20.0,12.0,23.0,17.0,22.0,12.0,16.0,17.0,22.0,13.0,22.0,24.0,15.0,19.0,14.0,18.0,17.0,22.0,17.0,17.0,17.0,16.0,13.0,18.0,17.0,14.0,19.0,17.0,16.0,22.0,16.0,22.0,14.0,20.0,15.0,17.0,20.0,15.0,13.0,13.0,16.0,21.0,19.0,18.0,12.0,19.0,16.0,16.0,13.0,,
41,153,1112,H,louisville,72,-3500,0.9722222222222222,1,W,570,10.0,15.0,,10.0,19.0,15.0,17.0,14.0,16.0,18.0,13.0,16.0,,21.0,,,13.0,22.0,17.0,25.0,10.0,24.0,18.0,13.0,18.0,22.0,13.0,18.0,19.0,17.0,10.0,17.0,16.0,16.0,,23.0,13.0,15.0,18.0,22.0,13.0,12.0,16.0,19.0,17.0,21.0,13.0,17.0,19.0,14.0,12.0,15.0,23.0,14.0,10.0,21.0,19.0,19.0,18.0,14.0,11.0,16.0,18.0,20.0,16.0,,
36,124,1111,V,notre-dame,72,-450,0.8181818181818182,1,W,814,12.0,19.0,9.0,18.0,10.0,14.0,14.0,11.0,13.0,15.0,10.0,10.0,17.0,16.0,13.0,18.0,15.0,11.0,14.0,15.0,9.0,9.0,15.0,15.0,14.0,18.0,18.0,17.0,14.0,12.0,17.0,12.0,13.0,12.0,13.0,10.0,11.0,11.0,11.0,11.0,14.0,22.0,15.0,12.0,13.0,12.0,15.0,12.0,11.0,12.0,18.0,16.0,14.0,12.0,17.0,11.0,15.0,12.0,12.0,13.0,14.0,9.0,12.0,17.0,10.0,,
62,235,1113,H,cincinnati,102,NL,0.5,1,W,837,16.0,14.0,12.0,14.0,6.0,11.0,12.0,17.0,12.0,11.0,9.0,11.0,8.0,12.0,9.0,13.0,12.0,14.0,19.0,10.0,19.0,,11.0,14.0,13.0,14.0,17.0,13.0,9.0,18.0,12.0,16.0,10.0,9.0,10.0,16.0,19.0,13.0,12.0,12.0,11.0,11.0,11.0,13.0,14.0,13.0,9.0,14.0,12.0,11.0,19.0,13.0,8.0,19.0,9.0,16.0,13.0,15.0,11.0,17.0,20.0,14.0,13.0,11.0,11.0,,
0,1,1110,H,west-virginia,65,-330,0.7674418604651163,1,L,840,15.0,10.0,13.0,12.0,11.0,8.0,9.0,10.0,15.0,9.0,16.0,14.0,10.0,14.0,23.0,11.0,9.0,13.0,10.0,12.0,17.0,8.0,9.0,12.0,16.0,9.0,15.0,8.0,12.0,10.0,9.0,21.0,14.0,15.0,15.0,12.0,8.0,7.0,8.0,14.0,12.0,13.0,9.0,15.0,12.0,14.0,11.0,15.0,16.0,23.0,14.0,9.0,10.0,17.0,15.0,19.0,10.0,22.0,16.0,19.0,10.0,15.0,11.0,14.0,,,
16,49,1110,H,usc,84,-23000,0.9956709956709957,1,W,995,13.0,9.0,10.0,8.0,9.0,12.0,11.0,12.0,11.0,13.0,15.0,7.0,9.0,8.0,18.0,7.0,10.0,6.0,11.0,11.0,12.0,,12.0,9.0,8.0,11.0,7.0,11.0,11.0,11.0,16.0,7.0,,10.0,8.0,9.0,12.0,12.0,16.0,9.0,10.0,5.0,12.0,11.0,10.0,10.0,10.0,8.0,9.0,6.0,11.0,11.0,15.0,6.0,7.0,9.0,11.0,9.0,10.0,8.0,15.0,11.0,7.0,9.0,12.0,,
67,259,1113,H,usc,75,NL,0.5,1,W,995,13.0,9.0,10.0,8.0,9.0,12.0,11.0,12.0,11.0,13.0,15.0,7.0,9.0,8.0,18.0,7.0,10.0,6.0,11.0,11.0,12.0,,12.0,9.0,8.0,11.0,7.0,11.0,11.0,11.0,16.0,7.0,,10.0,8.0,9.0,12.0,12.0,16.0,9.0,10.0,5.0,12.0,11.0,10.0,10.0,10.0,8.0,9.0,6.0,11.0,11.0,15.0,6.0,7.0,9.0,11.0,9.0,10.0,8.0,15.0,11.0,7.0,9.0,12.0,,
8,25,1110,H,north-carolina,86,-1500,0.9375,1,W,1047,8.0,11.0,4.0,9.0,12.0,9.0,10.0,6.0,10.0,10.0,7.0,9.0,12.0,10.0,12.0,9.0,11.0,5.0,13.0,9.0,7.0,6.0,10.0,10.0,12.0,10.0,9.0,9.0,8.0,9.0,11.0,10.0,11.0,14.0,12.0,14.0,9.0,8.0,7.0,10.0,9.0,15.0,13.0,10.0,9.0,11.0,12.0,10.0,13.0,13.0,10.0,8.0,12.0,11.0,11.0,10.0,8.0,11.0,8.0,10.0,7.0,10.0,10.0,12.0,8.0,,
68,261,1113,H,florida,116,NL,0.5,1,W,1100,7.0,7.0,11.0,11.0,14.0,10.0,8.0,8.0,8.0,7.0,12.0,15.0,18.0,9.0,6.0,16.0,6.0,10.0,8.0,8.0,11.0,11.0,8.0,7.0,7.0,8.0,10.0,12.0,10.0,4.0,8.0,5.0,8.0,7.0,9.0,8.0,7.0,10.0,9.0,4.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,10.0,5.0,9.0,12.0,8.0,9.0,8.0,9.0,11.0,9.0,8.0,20.0,10.0,9.0,,
57,213,1113,H,wichita-state,81,NL,0.5,1,W,1270,6.0,8.0,6.0,6.0,8.0,5.0,7.0,9.0,7.0,8.0,3.0,8.0,2.0,6.0,5.0,6.0,7.0,4.0,6.0,4.0,4.0,10.0,7.0,8.0,5.0,7.0,6.0,5.0,5.0,8.0,7.0,4.0,6.0,5.0,6.0,5.0,10.0,9.0,10.0,8.0,6.0,10.0,6.0,6.0,5.0,7.0,5.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,7.0,5.0,5.0,7.0,8.0,6.0,3.0,6.0,7.0,,
