,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
1206,4181,119,H,michigan-state,85,-2000,0.9523809523809523,11,W,1045,7.0,9.0,12.0,10.0,8.0,11.0,9.0,11.0,10.0,8.0,9.0,11.0,9.0,10.0,14.0,8.0,9.0,11.0,11.0,9.0,8.0,8.0,10.0,9.0,,11.0,8.0,10.0,9.0,8.0,9.0,14.0,9.0,10.0,12.0,12.0,9.0,9.0,12.0,9.0,9.0,8.0,8.0,9.0,10.0,11.0,5.0,9.0,8.0,11.0,13.0,10.0,8.0,10.0,10.0,11.0,,9.0,8.0,10.0,9.0,7.0,13.0,11.0,11.0,9.0,
1175,4036,117,V,texas-tech,58,-170,0.6296296296296297,11,L,1260,9.0,5.0,4.0,6.0,10.0,6.0,8.0,4.0,4.0,4.0,5.0,5.0,7.0,5.0,4.0,10.0,8.0,8.0,4.0,6.0,9.0,9.0,6.0,11.0,,6.0,6.0,6.0,7.0,9.0,7.0,5.0,4.0,9.0,5.0,5.0,8.0,6.0,7.0,6.0,8.0,5.0,4.0,7.0,6.0,5.0,6.0,5.0,7.0,3.0,5.0,4.0,10.0,6.0,6.0,7.0,,6.0,6.0,4.0,7.0,9.0,9.0,4.0,4.0,8.0,
1227,4238,120,V,texas-tech,52,-330,0.7674418604651163,11,L,1260,9.0,5.0,4.0,6.0,10.0,6.0,8.0,4.0,4.0,4.0,5.0,5.0,7.0,5.0,4.0,10.0,8.0,8.0,4.0,6.0,9.0,9.0,6.0,11.0,,6.0,6.0,6.0,7.0,9.0,7.0,5.0,4.0,9.0,5.0,5.0,8.0,6.0,7.0,6.0,8.0,5.0,4.0,7.0,6.0,5.0,6.0,5.0,7.0,3.0,5.0,4.0,10.0,6.0,6.0,7.0,,6.0,6.0,4.0,7.0,9.0,9.0,4.0,4.0,8.0,
1171,4025,117,H,wichita-state,78,-500,0.8333333333333334,11,L,1262,5.0,8.0,7.0,4.0,6.0,5.0,6.0,8.0,7.0,9.0,7.0,4.0,6.0,8.0,7.0,7.0,5.0,2.0,7.0,8.0,5.0,4.0,8.0,3.0,,8.0,9.0,9.0,5.0,2.0,6.0,7.0,5.0,3.0,7.0,8.0,7.0,8.0,8.0,8.0,4.0,9.0,10.0,5.0,8.0,8.0,12.0,7.0,6.0,5.0,7.0,8.0,6.0,8.0,2.0,6.0,,3.0,5.0,8.0,3.0,3.0,4.0,9.0,7.0,3.0,
1213,4198,120,V,wichita-state,59,-170,0.6296296296296297,11,L,1262,5.0,8.0,7.0,4.0,6.0,5.0,6.0,8.0,7.0,9.0,7.0,4.0,6.0,8.0,7.0,7.0,5.0,2.0,7.0,8.0,5.0,4.0,8.0,3.0,,8.0,9.0,9.0,5.0,2.0,6.0,7.0,5.0,3.0,7.0,8.0,7.0,8.0,8.0,8.0,4.0,9.0,10.0,5.0,8.0,8.0,12.0,7.0,6.0,5.0,7.0,8.0,6.0,8.0,2.0,6.0,,3.0,5.0,8.0,3.0,3.0,4.0,9.0,7.0,3.0,
1147,3953,115,H,west-virginia,66,-250,0.7142857142857143,11,L,1286,4.0,6.0,5.0,7.0,4.0,4.0,7.0,5.0,5.0,5.0,6.0,6.0,8.0,3.0,3.0,6.0,7.0,9.0,5.0,7.0,3.0,7.0,4.0,6.0,,4.0,7.0,7.0,8.0,4.0,8.0,6.0,6.0,8.0,6.0,6.0,5.0,7.0,6.0,3.0,7.0,6.0,6.0,8.0,7.0,6.0,8.0,6.0,4.0,7.0,3.0,5.0,7.0,7.0,7.0,5.0,,7.0,7.0,5.0,8.0,5.0,8.0,5.0,5.0,6.0,
1226,4237,120,H,west-virginia,86,-550,0.8461538461538461,11,W,1286,4.0,6.0,5.0,7.0,4.0,4.0,7.0,5.0,5.0,5.0,6.0,6.0,8.0,3.0,3.0,6.0,7.0,9.0,5.0,7.0,3.0,7.0,4.0,6.0,,4.0,7.0,7.0,8.0,4.0,8.0,6.0,6.0,8.0,6.0,6.0,5.0,7.0,6.0,3.0,7.0,6.0,6.0,8.0,7.0,6.0,8.0,6.0,4.0,7.0,3.0,5.0,7.0,7.0,7.0,5.0,,7.0,7.0,5.0,8.0,5.0,8.0,5.0,5.0,6.0,
1139,3934,115,V,duke,83,-190,0.6551724137931034,11,W,1297,6.0,4.0,8.0,5.0,2.0,7.0,5.0,7.0,6.0,7.0,8.0,14.0,5.0,7.0,2.0,3.0,4.0,5.0,9.0,3.0,6.0,6.0,7.0,2.0,,7.0,4.0,5.0,3.0,7.0,5.0,8.0,3.0,4.0,3.0,7.0,4.0,5.0,3.0,7.0,5.0,7.0,7.0,6.0,5.0,4.0,4.0,8.0,9.0,6.0,8.0,9.0,5.0,4.0,4.0,8.0,,8.0,4.0,7.0,5.0,6.0,3.0,7.0,10.0,5.0,
1240,4275,120,H,duke,81,-45000,0.9977827050997783,11,W,1297,6.0,4.0,8.0,5.0,2.0,7.0,5.0,7.0,6.0,7.0,8.0,14.0,5.0,7.0,2.0,3.0,4.0,5.0,9.0,3.0,6.0,6.0,7.0,2.0,,7.0,4.0,5.0,3.0,7.0,5.0,8.0,3.0,4.0,3.0,7.0,4.0,5.0,3.0,7.0,5.0,7.0,7.0,6.0,5.0,4.0,4.0,8.0,9.0,6.0,8.0,9.0,5.0,4.0,4.0,8.0,,8.0,4.0,7.0,5.0,6.0,3.0,7.0,10.0,5.0,
1159,3992,116,V,oklahoma,69,-145,0.5918367346938775,11,L,1351,8.0,3.0,3.0,3.0,7.0,8.0,4.0,6.0,3.0,3.0,4.0,8.0,3.0,4.0,5.0,4.0,6.0,4.0,3.0,5.0,7.0,5.0,5.0,10.0,,5.0,5.0,4.0,4.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,3.0,3.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,3.0,13.0,3.0,5.0,8.0,4.0,3.0,4.0,3.0,8.0,4.0,,5.0,9.0,3.0,6.0,8.0,2.0,2.0,2.0,7.0,
1223,4234,120,V,oklahoma,81,-135,0.574468085106383,11,L,1351,8.0,3.0,3.0,3.0,7.0,8.0,4.0,6.0,3.0,3.0,4.0,8.0,3.0,4.0,5.0,4.0,6.0,4.0,3.0,5.0,7.0,5.0,5.0,10.0,,5.0,5.0,4.0,4.0,6.0,4.0,3.0,7.0,6.0,4.0,4.0,3.0,3.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,3.0,13.0,3.0,5.0,8.0,4.0,3.0,4.0,3.0,8.0,4.0,,5.0,9.0,3.0,6.0,8.0,2.0,2.0,2.0,7.0,
1153,3975,116,H,purdue,78,-1600,0.9411764705882353,11,W,1388,3.0,7.0,6.0,8.0,3.0,2.0,3.0,3.0,8.0,6.0,3.0,1.0,2.0,6.0,6.0,5.0,3.0,6.0,6.0,4.0,4.0,3.0,3.0,4.0,,3.0,2.0,3.0,6.0,3.0,3.0,2.0,8.0,7.0,8.0,2.0,6.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,7.0,2.0,4.0,3.0,4.0,6.0,6.0,2.0,5.0,5.0,3.0,,4.0,3.0,6.0,4.0,4.0,5.0,8.0,6.0,4.0,
1214,4200,120,V,purdue,87,-750,0.8823529411764706,11,W,1388,3.0,7.0,6.0,8.0,3.0,2.0,3.0,3.0,8.0,6.0,3.0,1.0,2.0,6.0,6.0,5.0,3.0,6.0,6.0,4.0,4.0,3.0,3.0,4.0,,3.0,2.0,3.0,6.0,3.0,3.0,2.0,8.0,7.0,8.0,2.0,6.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,7.0,2.0,4.0,3.0,4.0,6.0,6.0,2.0,5.0,5.0,3.0,,4.0,3.0,6.0,4.0,4.0,5.0,8.0,6.0,4.0,
1193,4104,118,V,virginia,64,-320,0.7619047619047619,11,W,1503,2.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,8.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,,2.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,,2.0,2.0,2.0,2.0,2.0,6.0,3.0,3.0,2.0,
1271,4422,121,V,virginia,59,-380,0.7916666666666666,11,W,1503,2.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,8.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,,2.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,,2.0,2.0,2.0,2.0,2.0,6.0,3.0,3.0,2.0,
1165,4004,117,V,villanova,88,-1100,0.9166666666666666,11,W,1598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1212,4196,120,V,villanova,81,-1700,0.9444444444444444,11,W,1598,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1284,4450,123,V,providence,69,1003,0.09066183136899365,12,L,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,
1323,4541,124,H,boise-state,94,-7000,0.9859154929577465,12,W,2,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,4822,127,V,boise-state,70,-500,0.8333333333333334,12,W,2,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,4511,124,H,florida-state,88,-550,0.8461538461538461,12,W,14,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,
1362,4735,127,H,florida-state,103,-235,0.7014925373134329,12,W,14,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,
1300,4480,123,V,creighton,68,-130,0.5652173913043478,12,W,20,,,,,,,,,,,,,,,,,,,,24.0,21.0,,,,,25.0,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,23.0,,,,,,,,,,,25.0,,
1382,4801,127,H,creighton,85,-1000,0.9090909090909091,12,W,20,,,,,,,,,,,,,,,,,,,,24.0,21.0,,,,,25.0,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,23.0,,,,,,,,,,,25.0,,
1401,4898,128,V,seton-hall,86,-270,0.7297297297297297,12,W,22,,,,,25.0,,,,,24.0,,,,,,,23.0,,,,,23.0,,,,,,,,,24.0,,,,,,,,25.0,23.0,22.0,,25.0,,,,,,25.0,,,,,,,,,,,25.0,,,,,,,
1279,4440,122,V,kansas-state,90,185,0.3508771929824561,12,W,35,,,,,,,,,,,,,,25.0,16.0,,,20.0,,,,,25.0,25.0,,,,,,,,,,,,25.0,,,22.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,19.0,
1356,4705,127,H,kansas-state,56,-330,0.7674418604651163,12,W,35,,,,,,,,,,,,,,25.0,16.0,,,20.0,,,,,25.0,25.0,,,,,,,,,,,,25.0,,,22.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,19.0,
1302,4485,123,H,kentucky,78,-330,0.7674418604651163,12,W,38,25.0,,,,21.0,,,24.0,,,,25.0,24.0,,,,24.0,23.0,,,,,,,,,,,,25.0,,,,20.0,,,25.0,23.0,23.0,,24.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,21.0,
1366,4744,127,V,kentucky,83,425,0.19047619047619047,12,W,38,25.0,,,,21.0,,,24.0,,,,25.0,24.0,,,,24.0,23.0,,,,,,,,,,,,25.0,,,,20.0,,,25.0,23.0,23.0,,24.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,21.0,
1282,4443,122,H,tcu,82,115,0.46511627906976744,12,W,45,,22.0,,21.0,,,25.0,21.0,,22.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,25.0,,24.0,25.0,,22.0,24.0,25.0,,20.0,,,,,,,,,,,,21.0,,
1360,4730,127,V,tcu,78,-160,0.6153846153846154,12,L,45,,22.0,,21.0,,,25.0,21.0,,22.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,25.0,,24.0,25.0,,22.0,24.0,25.0,,20.0,,,,,,,,,,,,21.0,,
1314,4516,124,V,louisville,75,170,0.37037037037037035,12,L,76,,,25.0,,23.0,25.0,,25.0,,,,22.0,,,,,,19.0,,,22.0,24.0,,21.0,,24.0,,24.0,,,,,,23.0,,,17.0,24.0,,24.0,,,,,,,,24.0,20.0,,,,,,25.0,,,,,,21.0,25.0,17.0,,,22.0,
1378,4797,127,H,louisville,96,-550,0.8461538461538461,12,W,76,,,25.0,,23.0,25.0,,25.0,,,,22.0,,,,,,19.0,,,22.0,24.0,,21.0,,24.0,,24.0,,,,,,23.0,,,17.0,24.0,,24.0,,,,,,,,24.0,20.0,,,,,,25.0,,,,,,21.0,25.0,17.0,,,22.0,
1327,4564,125,V,michigan,88,500,0.16666666666666666,12,L,122,22.0,23.0,,,,,,,23.0,25.0,25.0,,20.0,23.0,12.0,,,,13.0,20.0,23.0,,,,,20.0,25.0,22.0,,,,21.0,23.0,,23.0,,,,24.0,,,25.0,,24.0,25.0,,,13.0,,23.0,,25.0,,25.0,,12.0,,,25.0,,,24.0,,,24.0,,
1308,4502,124,V,rhode-island,78,-1800,0.9473684210526315,12,W,185,19.0,,23.0,25.0,16.0,,22.0,,24.0,,21.0,23.0,19.0,24.0,,23.0,25.0,22.0,23.0,,,19.0,23.0,23.0,,,23.0,,21.0,23.0,19.0,17.0,,25.0,,23.0,16.0,25.0,,22.0,17.0,23.0,22.0,,23.0,25.0,,22.0,24.0,,22.0,24.0,,,20.0,23.0,,25.0,24.0,22.0,23.0,19.0,20.0,20.0,,25.0,
1345,4677,127,H,rhode-island,61,NL,0.5,12,W,185,19.0,,23.0,25.0,16.0,,22.0,,24.0,,21.0,23.0,19.0,24.0,,23.0,25.0,22.0,23.0,,,19.0,23.0,23.0,,,23.0,,21.0,23.0,19.0,17.0,,25.0,,23.0,16.0,25.0,,22.0,17.0,23.0,22.0,,23.0,25.0,,22.0,24.0,,22.0,24.0,,,20.0,23.0,,25.0,24.0,22.0,23.0,19.0,20.0,20.0,,25.0,
1325,4546,124,V,nevada,103,-150,0.6,12,L,190,23.0,24.0,22.0,24.0,24.0,23.0,,,25.0,19.0,19.0,24.0,21.0,20.0,,25.0,,18.0,22.0,19.0,,,22.0,24.0,,23.0,22.0,25.0,22.0,20.0,22.0,25.0,24.0,22.0,25.0,20.0,24.0,,,20.0,,22.0,21.0,23.0,24.0,21.0,24.0,21.0,23.0,25.0,19.0,21.0,,20.0,23.0,19.0,,23.0,19.0,24.0,,,,23.0,23.0,,
1290,4459,123,H,tennessee,67,-700,0.875,12,W,260,,19.0,21.0,22.0,,21.0,23.0,20.0,20.0,18.0,23.0,15.0,22.0,21.0,19.0,24.0,,,21.0,18.0,25.0,22.0,19.0,,,18.0,24.0,17.0,20.0,21.0,23.0,24.0,25.0,24.0,20.0,22.0,,22.0,,,25.0,19.0,24.0,21.0,16.0,20.0,16.0,23.0,,21.0,23.0,22.0,18.0,,,22.0,,19.0,22.0,20.0,20.0,,,19.0,17.0,,
1365,4740,127,V,tennessee,68,-145,0.5918367346938775,12,W,260,,19.0,21.0,22.0,,21.0,23.0,20.0,20.0,18.0,23.0,15.0,22.0,21.0,19.0,24.0,,,21.0,18.0,25.0,22.0,19.0,,,18.0,24.0,17.0,20.0,21.0,23.0,24.0,25.0,24.0,20.0,22.0,,22.0,,,25.0,19.0,24.0,21.0,16.0,20.0,16.0,23.0,,21.0,23.0,22.0,18.0,,,22.0,,19.0,22.0,20.0,20.0,,,19.0,17.0,,
1334,4607,125,H,arizona-state,77,-400,0.8,12,L,345,18.0,21.0,,18.0,15.0,22.0,20.0,18.0,19.0,17.0,22.0,17.0,14.0,,23.0,13.0,19.0,,,21.0,,17.0,21.0,18.0,,,20.0,19.0,23.0,24.0,18.0,23.0,21.0,,18.0,24.0,20.0,19.0,18.0,,20.0,21.0,17.0,22.0,19.0,19.0,,,,18.0,,17.0,16.0,18.0,15.0,21.0,,20.0,21.0,23.0,19.0,16.0,,22.0,20.0,17.0,
1383,4803,127,H,arizona-state,80,-550,0.8461538461538461,12,W,345,18.0,21.0,,18.0,15.0,22.0,20.0,18.0,19.0,17.0,22.0,17.0,14.0,,23.0,13.0,19.0,,,21.0,,17.0,21.0,18.0,,,20.0,19.0,23.0,24.0,18.0,23.0,21.0,,18.0,24.0,20.0,19.0,18.0,,20.0,21.0,17.0,22.0,19.0,19.0,,,,18.0,,17.0,16.0,18.0,15.0,21.0,,20.0,21.0,23.0,19.0,16.0,,22.0,20.0,17.0,
1311,4509,124,H,florida,72,-650,0.8666666666666667,12,L,364,21.0,25.0,16.0,23.0,,19.0,18.0,19.0,22.0,,24.0,21.0,12.0,19.0,,19.0,22.0,16.0,19.0,17.0,18.0,21.0,20.0,17.0,,22.0,17.0,21.0,24.0,16.0,21.0,18.0,19.0,,21.0,14.0,22.0,18.0,20.0,,19.0,17.0,23.0,18.0,18.0,22.0,15.0,19.0,19.0,22.0,21.0,23.0,19.0,24.0,13.0,,,24.0,23.0,21.0,18.0,21.0,19.0,21.0,,18.0,
1349,4681,127,H,florida,81,-330,0.7674418604651163,12,W,364,21.0,25.0,16.0,23.0,,19.0,18.0,19.0,22.0,,24.0,21.0,12.0,19.0,,19.0,22.0,16.0,19.0,17.0,18.0,21.0,20.0,17.0,,22.0,17.0,21.0,24.0,16.0,21.0,18.0,19.0,,21.0,14.0,22.0,18.0,20.0,,19.0,17.0,23.0,18.0,18.0,22.0,15.0,19.0,19.0,22.0,21.0,23.0,19.0,24.0,13.0,,,24.0,23.0,21.0,18.0,21.0,19.0,21.0,,18.0,
1320,4536,124,V,auburn,91,115,0.46511627906976744,12,W,463,17.0,20.0,19.0,19.0,19.0,18.0,19.0,23.0,21.0,20.0,18.0,,15.0,17.0,18.0,18.0,18.0,25.0,20.0,12.0,16.0,,18.0,19.0,,19.0,16.0,18.0,18.0,17.0,20.0,22.0,22.0,17.0,19.0,19.0,21.0,21.0,19.0,18.0,21.0,16.0,16.0,19.0,15.0,14.0,23.0,20.0,16.0,16.0,14.0,20.0,14.0,22.0,17.0,20.0,,18.0,18.0,19.0,17.0,22.0,25.0,16.0,16.0,20.0,
1374,4767,127,H,auburn,95,-600,0.8571428571428571,12,W,463,17.0,20.0,19.0,19.0,19.0,18.0,19.0,23.0,21.0,20.0,18.0,,15.0,17.0,18.0,18.0,18.0,25.0,20.0,12.0,16.0,,18.0,19.0,,19.0,16.0,18.0,18.0,17.0,20.0,22.0,22.0,17.0,19.0,19.0,21.0,21.0,19.0,18.0,21.0,16.0,16.0,19.0,15.0,14.0,23.0,20.0,16.0,16.0,14.0,20.0,14.0,22.0,17.0,20.0,,18.0,18.0,19.0,17.0,22.0,25.0,16.0,16.0,20.0,
1295,4464,123,V,clemson,36,384,0.2066115702479339,12,L,468,,17.0,17.0,20.0,20.0,17.0,21.0,14.0,17.0,23.0,20.0,19.0,17.0,14.0,25.0,20.0,20.0,,14.0,22.0,24.0,18.0,15.0,20.0,,15.0,14.0,20.0,19.0,22.0,25.0,20.0,14.0,21.0,22.0,13.0,18.0,14.0,15.0,17.0,23.0,15.0,13.0,20.0,17.0,15.0,14.0,16.0,17.0,19.0,17.0,19.0,23.0,19.0,21.0,17.0,,21.0,20.0,17.0,16.0,20.0,21.0,15.0,22.0,24.0,
1405,4906,128,V,clemson,72,-155,0.6078431372549019,12,W,468,,17.0,17.0,20.0,20.0,17.0,21.0,14.0,17.0,23.0,20.0,19.0,17.0,14.0,25.0,20.0,20.0,,14.0,22.0,24.0,18.0,15.0,20.0,,15.0,14.0,20.0,19.0,22.0,25.0,20.0,14.0,21.0,22.0,13.0,18.0,14.0,15.0,17.0,23.0,15.0,13.0,20.0,17.0,15.0,14.0,16.0,17.0,19.0,17.0,19.0,23.0,19.0,21.0,17.0,,21.0,20.0,17.0,16.0,20.0,21.0,15.0,22.0,24.0,
1333,4603,125,H,wichita-state,81,-1400,0.9333333333333333,12,W,535,10.0,18.0,20.0,17.0,12.0,20.0,16.0,17.0,18.0,21.0,16.0,13.0,,22.0,17.0,15.0,16.0,14.0,25.0,25.0,20.0,13.0,24.0,12.0,,17.0,21.0,23.0,17.0,12.0,17.0,19.0,17.0,15.0,17.0,21.0,13.0,20.0,17.0,14.0,13.0,20.0,20.0,17.0,22.0,23.0,22.0,25.0,15.0,17.0,20.0,18.0,15.0,17.0,18.0,25.0,,17.0,17.0,15.0,15.0,12.0,13.0,25.0,8.0,13.0,
1404,4905,128,H,wichita-state,90,-2500,0.9615384615384616,12,W,535,10.0,18.0,20.0,17.0,12.0,20.0,16.0,17.0,18.0,21.0,16.0,13.0,,22.0,17.0,15.0,16.0,14.0,25.0,25.0,20.0,13.0,24.0,12.0,,17.0,21.0,23.0,17.0,12.0,17.0,19.0,17.0,15.0,17.0,21.0,13.0,20.0,17.0,14.0,13.0,20.0,20.0,17.0,22.0,23.0,22.0,25.0,15.0,17.0,20.0,18.0,15.0,17.0,18.0,25.0,,17.0,17.0,15.0,15.0,12.0,13.0,25.0,8.0,13.0,
1336,4624,125,V,gonzaga,95,NL,0.5,12,W,601,15.0,15.0,18.0,16.0,18.0,16.0,15.0,16.0,15.0,16.0,15.0,14.0,23.0,16.0,21.0,16.0,15.0,21.0,17.0,16.0,9.0,16.0,14.0,16.0,,14.0,19.0,16.0,16.0,18.0,13.0,12.0,15.0,16.0,16.0,17.0,,16.0,13.0,19.0,15.0,18.0,19.0,16.0,21.0,17.0,10.0,15.0,21.0,15.0,18.0,15.0,24.0,15.0,19.0,16.0,,16.0,16.0,14.0,24.0,17.0,15.0,18.0,18.0,16.0,
1377,4795,127,H,gonzaga,82,-3500,0.9722222222222222,12,W,601,15.0,15.0,18.0,16.0,18.0,16.0,15.0,16.0,15.0,16.0,15.0,14.0,23.0,16.0,21.0,16.0,15.0,21.0,17.0,16.0,9.0,16.0,14.0,16.0,,14.0,19.0,16.0,16.0,18.0,13.0,12.0,15.0,16.0,16.0,17.0,,16.0,13.0,19.0,15.0,18.0,19.0,16.0,21.0,17.0,10.0,15.0,21.0,15.0,18.0,15.0,24.0,15.0,19.0,16.0,,16.0,16.0,14.0,24.0,17.0,15.0,18.0,18.0,16.0,
1294,4463,123,H,texas-tech,75,-500,0.8333333333333334,12,W,752,8.0,12.0,14.0,14.0,22.0,12.0,13.0,12.0,12.0,11.0,17.0,12.0,,18.0,7.0,14.0,17.0,17.0,18.0,13.0,17.0,20.0,17.0,13.0,,11.0,12.0,13.0,10.0,15.0,14.0,13.0,16.0,14.0,12.0,15.0,19.0,12.0,14.0,13.0,14.0,14.0,12.0,13.0,13.0,13.0,12.0,18.0,10.0,11.0,15.0,13.0,17.0,16.0,16.0,18.0,,13.0,14.0,18.0,14.0,15.0,14.0,14.0,12.0,14.0,
1346,4678,127,V,texas-tech,70,-170,0.6296296296296297,12,W,752,8.0,12.0,14.0,14.0,22.0,12.0,13.0,12.0,12.0,11.0,17.0,12.0,,18.0,7.0,14.0,17.0,17.0,18.0,13.0,17.0,20.0,17.0,13.0,,11.0,12.0,13.0,10.0,15.0,14.0,13.0,16.0,14.0,12.0,15.0,19.0,12.0,14.0,13.0,14.0,14.0,12.0,13.0,13.0,13.0,12.0,18.0,10.0,11.0,15.0,13.0,17.0,16.0,16.0,18.0,,13.0,14.0,18.0,14.0,15.0,14.0,14.0,12.0,14.0,
1278,4439,122,H,ohio-state,64,-900,0.9,12,W,773,16.0,16.0,11.0,13.0,13.0,14.0,17.0,15.0,16.0,14.0,12.0,20.0,13.0,10.0,10.0,17.0,14.0,11.0,10.0,11.0,13.0,14.0,16.0,14.0,,16.0,13.0,15.0,14.0,14.0,15.0,16.0,11.0,13.0,13.0,18.0,14.0,17.0,16.0,15.0,16.0,12.0,14.0,14.0,14.0,18.0,11.0,12.0,14.0,13.0,10.0,16.0,10.0,12.0,14.0,14.0,,14.0,12.0,16.0,13.0,14.0,16.0,12.0,19.0,11.0,
1331,4593,125,H,ohio-state,79,-550,0.8461538461538461,12,L,773,16.0,16.0,11.0,13.0,13.0,14.0,17.0,15.0,16.0,14.0,12.0,20.0,13.0,10.0,10.0,17.0,14.0,11.0,10.0,11.0,13.0,14.0,16.0,14.0,,16.0,13.0,15.0,14.0,14.0,15.0,16.0,11.0,13.0,13.0,18.0,14.0,17.0,16.0,15.0,16.0,12.0,14.0,14.0,14.0,18.0,11.0,12.0,14.0,13.0,10.0,16.0,10.0,12.0,14.0,14.0,,14.0,12.0,16.0,13.0,14.0,16.0,12.0,19.0,11.0,
1292,4461,123,H,oklahoma,85,-140,0.5833333333333334,12,W,904,6.0,9.0,13.0,10.0,11.0,11.0,12.0,11.0,11.0,10.0,13.0,18.0,16.0,11.0,8.0,9.0,8.0,13.0,15.0,14.0,15.0,11.0,13.0,15.0,,12.0,11.0,12.0,9.0,13.0,12.0,11.0,13.0,12.0,11.0,12.0,9.0,9.0,12.0,11.0,12.0,10.0,11.0,10.0,12.0,12.0,21.0,17.0,9.0,14.0,12.0,11.0,13.0,13.0,11.0,13.0,,12.0,13.0,12.0,11.0,13.0,10.0,13.0,11.0,12.0,
