,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,jim-benson,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,christian-caple,jerry-carino,andrew-carter,chris-dachille,kieran-darcy,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,ben-frederickson,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,brian-howell,cecil-hurt,marcus-jackson,joey-johnston,joe-juliano,tom-keegan,bill-knight,chris-lang,kevin-lyttle,fletcher-mackel,scott-mansch,brandon-marcello,matt-mccoy,john-mcnamara,kevin-mcnamara,ron-morris,chris-murray,zach-osterman,soren-petro,steve-pivovar,bj-rains,joe-rexrode,randy-rosetta,daniel-shirley,jason-smith,bret-strelow,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,john-werner,tj-werre,gary-williams,jon-wilner,steve-wiseman,scott-wolf,paul-zeise
31,117,1114,H,north-carolina,76,-2335,0.9589322381930184,1,W,1274,7.0,6.0,8.0,13.0,5.0,6.0,5.0,13.0,7.0,7.0,6.0,9.0,4.0,6.0,6.0,7.0,8.0,7.0,6.0,12.0,7.0,7.0,3.0,6.0,5.0,5.0,3.0,4.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,5.0,5.0,8.0,5.0,2.0,7.0,7.0,6.0,7.0,7.0,11.0,3.0,5.0,5.0,4.0,5.0,10.0,5.0,4.0,5.0,6.0,6.0,7.0,10.0,5.0,6.0,6.0
60,229,1116,H,north-carolina,103,NL,0.5,1,W,1274,7.0,6.0,8.0,13.0,5.0,6.0,5.0,13.0,7.0,7.0,6.0,9.0,4.0,6.0,6.0,7.0,8.0,7.0,6.0,12.0,7.0,7.0,3.0,6.0,5.0,5.0,3.0,4.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,5.0,5.0,8.0,5.0,2.0,7.0,7.0,6.0,7.0,7.0,11.0,3.0,5.0,5.0,4.0,5.0,10.0,5.0,4.0,5.0,6.0,6.0,7.0,10.0,5.0,6.0,6.0
7,19,1114,H,kansas,69,-1518,0.9381953028430161,1,W,1346,5.0,5.0,5.0,8.0,6.0,5.0,7.0,6.0,5.0,5.0,5.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,8.0,5.0,6.0,6.0,5.0,6.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,9.0,5.0,6.0,6.0,6.0,2.0,4.0,5.0,6.0,5.0,4.0,5.0,8.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,5.0,3.0,4.0,5.0,5.0,8.0,6.0,4.0,5.0
28,109,1114,H,duke,113,-81000,0.998766954377312,1,W,1415,6.0,3.0,4.0,6.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,4.0,3.0,9.0,4.0,4.0,4.0,6.0,5.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,9.0,6.0,8.0,4.0,4.0,4.0,5.0,3.0,2.0,6.0,2.0,3.0,5.0,4.0,3.0,4.0,8.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0
43,171,1115,H,duke,109,-54000,0.9981515711645101,1,W,1415,6.0,3.0,4.0,6.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,4.0,3.0,9.0,4.0,4.0,4.0,6.0,5.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,9.0,6.0,8.0,4.0,4.0,4.0,5.0,3.0,2.0,6.0,2.0,3.0,5.0,4.0,3.0,4.0,8.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,3.0
34,125,1114,H,wisconsin,62,-40500,0.9975369458128078,1,W,1483,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,6.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,11.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,10.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,7.0,4.0,3.0,3.0,4.0,3.0,9.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0
53,211,1116,H,wisconsin,89,NL,0.5,1,W,1483,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,6.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,11.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,10.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,7.0,4.0,3.0,3.0,4.0,3.0,9.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0
33,121,1114,H,arizona,78,-33750,0.9970457902511078,1,W,1518,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0
50,201,1116,H,arizona,86,NL,0.5,1,W,1518,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0
32,119,1114,H,kentucky,85,-47250,0.9978880675818373,1,W,1604,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
