,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,jim-benson,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,christian-caple,jerry-carino,andrew-carter,chris-dachille,kieran-darcy,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,ben-frederickson,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,brian-howell,cecil-hurt,marcus-jackson,joey-johnston,joe-juliano,tom-keegan,bill-knight,chris-lang,kevin-lyttle,fletcher-mackel,scott-mansch,brandon-marcello,matt-mccoy,john-mcnamara,kevin-mcnamara,ron-morris,chris-murray,zach-osterman,soren-petro,steve-pivovar,bj-rains,joe-rexrode,randy-rosetta,daniel-shirley,jason-smith,bret-strelow,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,john-werner,tj-werre,gary-williams,jon-wilner,steve-wiseman,scott-wolf,paul-zeise
393,1330,1203,V,northeastern,46,360,0.21739130434782608,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1331,1203,H,harvard,60,-460,0.8214285714285714,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,1334,1203,V,michigan-state,78,130,0.43478260869565216,4,L,24.0,16.0,17.0,21.0,20.0,20.0,25.0,15.0,21.0,19.0,,16.0,16.0,,24.0,16.0,,18.0,20.0,20.0,21.0,15.0,16.0,18.0,18.0,20.0,20.0,24.0,16.0,19.0,18.0,24.0,18.0,,18.0,15.0,24.0,17.0,16.0,18.0,24.0,16.0,23.0,21.0,20.0,20.0,23.0,19.0,18.0,16.0,16.0,18.0,16.0,19.0,17.0,17.0,16.0,18.0,,23.0,16.0,20.0,,16.0,16.0
396,1335,1203,H,notre-dame,79,-150,0.6,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,
397,1337,1203,H,penn-state,61,-430,0.8113207547169812,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1338,1203,V,iowa,60,290,0.2564102564102564,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1339,1203,H,north-carolina,55,-360,0.782608695652174,4,L,11.0,15.0,12.0,19.0,12.0,10.0,12.0,11.0,12.0,11.0,17.0,21.0,11.0,12.0,12.0,13.0,15.0,10.0,12.0,12.0,17.0,13.0,12.0,12.0,14.0,15.0,16.0,11.0,11.0,12.0,11.0,12.0,14.0,10.0,12.0,18.0,12.0,12.0,11.0,12.0,10.0,21.0,12.0,11.0,14.0,10.0,11.0,9.0,15.0,9.0,7.0,12.0,13.0,18.0,14.0,12.0,13.0,11.0,8.0,12.0,7.0,18.0,10.0,22.0,10.0
400,1343,1203,H,oklahoma-state,87,-5513,0.9821842152146802,4,W,19.0,,,,,23.0,,,23.0,,,,,,,,22.0,25.0,,,,,,,,,,,20.0,,,,23.0,21.0,,,18.0,,,,,19.0,,,,,21.0,,,,21.0,,,,,22.0,,,23.0,,21.0,,,,
401,1344,1203,V,creighton,64,110,0.47619047619047616,4,L,,,,,,25.0,,,,25.0,23.0,,,,,,,,21.0,,,,24.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,21.0,17.0,,
402,1345,1203,H,tulsa,77,-130,0.5652173913043478,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,1346,1203,V,unlv,55,245,0.2898550724637681,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,1348,1203,V,villanova,84,-655,0.8675496688741722,4,W,12.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,11.0,9.0,10.0,8.0,11.0,5.0,12.0,11.0,9.0,10.0,10.0,11.0,10.0,7.0,10.0,8.0,6.0,9.0,11.0,8.0,10.0,11.0,12.0,10.0,8.0,9.0,10.0,12.0,9.0,11.0,7.0,3.0,5.0,10.0,9.0,13.0,12.0,6.0,10.0,12.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,11.0,12.0,10.0,8.0,9.0,11.0
405,1350,1203,V,utep,62,195,0.3389830508474576,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,1351,1203,H,colorado-state,65,-230,0.696969696969697,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,1354,1203,V,virginia,76,-260,0.7222222222222222,4,W,7.0,7.0,6.0,6.0,5.0,12.0,7.0,7.0,8.0,10.0,5.0,7.0,6.0,8.0,5.0,10.0,6.0,9.0,6.0,7.0,11.0,11.0,7.0,6.0,11.0,7.0,7.0,10.0,7.0,10.0,6.0,7.0,5.0,7.0,8.0,11.0,5.0,8.0,9.0,6.0,7.0,9.0,5.0,10.0,6.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,5.0,6.0,5.0,6.0,11.0,6.0,10.0,10.0,8.0,7.0,11.0,11.0,9.0
408,1355,1203,H,maryland,65,210,0.3225806451612903,4,L,,,,23.0,18.0,22.0,18.0,17.0,16.0,22.0,18.0,23.0,22.0,18.0,19.0,21.0,18.0,,17.0,19.0,20.0,21.0,,22.0,20.0,22.0,19.0,18.0,21.0,24.0,20.0,20.0,15.0,,,22.0,,,22.0,23.0,21.0,22.0,15.0,17.0,23.0,23.0,18.0,20.0,19.0,23.0,,22.0,23.0,24.0,23.0,24.0,22.0,,16.0,21.0,24.0,14.0,23.0,23.0,18.0
409,1358,1203,V,duke,80,160,0.38461538461538464,4,W,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,8.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0
410,1359,1203,H,wisconsin,70,-185,0.6491228070175439,4,L,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,9.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0
411,1363,1203,H,colorado,72,-650,0.8666666666666667,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,1370,1203,V,wichita-state,68,135,0.425531914893617,4,L,8.0,5.0,8.0,7.0,10.0,5.0,8.0,10.0,9.0,6.0,11.0,8.0,7.0,6.0,11.0,9.0,7.0,8.0,10.0,10.0,5.0,8.0,6.0,9.0,9.0,8.0,10.0,7.0,6.0,9.0,7.0,9.0,9.0,6.0,6.0,5.0,8.0,9.0,6.0,10.0,8.0,10.0,10.0,7.0,11.0,6.0,7.0,10.0,10.0,14.0,10.0,5.0,8.0,8.0,11.0,8.0,8.0,9.0,9.0,6.0,9.0,8.0,7.0,3.0,8.0
413,1373,1203,H,ucla,73,-1518,0.9381953028430161,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,
414,1376,1203,V,valparaiso,72,-140,0.5833333333333334,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,1391,1203,H,california,78,-948,0.9045801526717557,4,W,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,
416,1398,1204,V,lsu,74,370,0.2127659574468085,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,1399,1204,H,west-virginia,73,-470,0.8245614035087719,4,L,17.0,18.0,16.0,14.0,17.0,18.0,15.0,16.0,17.0,16.0,15.0,17.0,19.0,15.0,14.0,17.0,16.0,15.0,13.0,14.0,16.0,19.0,14.0,16.0,23.0,16.0,15.0,16.0,22.0,16.0,14.0,16.0,20.0,,16.0,20.0,13.0,14.0,17.0,15.0,16.0,17.0,24.0,16.0,17.0,19.0,15.0,16.0,13.0,22.0,22.0,16.0,20.0,15.0,15.0,16.0,17.0,16.0,15.0,18.0,19.0,12.0,15.0,18.0,17.0
418,1402,1204,V,baylor,66,-125,0.5555555555555556,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1406,1204,V,tcu,66,210,0.3225806451612903,4,W,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,1408,1204,V,arkansas,77,225,0.3076923076923077,4,L,21.0,17.0,19.0,,16.0,19.0,17.0,21.0,20.0,17.0,19.0,18.0,15.0,17.0,16.0,,19.0,17.0,25.0,23.0,14.0,23.0,18.0,20.0,19.0,17.0,18.0,17.0,19.0,17.0,15.0,17.0,21.0,18.0,20.0,23.0,16.0,20.0,21.0,22.0,17.0,18.0,14.0,19.0,21.0,17.0,16.0,22.0,20.0,20.0,,17.0,22.0,21.0,19.0,19.0,18.0,21.0,21.0,17.0,18.0,22.0,19.0,,19.0
421,1409,1204,H,iowa-state,95,-275,0.7333333333333333,4,W,16.0,,20.0,,22.0,13.0,22.0,18.0,18.0,23.0,20.0,24.0,24.0,19.0,17.0,22.0,,,18.0,,25.0,22.0,17.0,19.0,21.0,18.0,22.0,,24.0,18.0,21.0,18.0,17.0,16.0,19.0,,20.0,18.0,20.0,19.0,19.0,,18.0,20.0,25.0,15.0,20.0,18.0,23.0,13.0,19.0,,25.0,25.0,25.0,18.0,,17.0,17.0,,17.0,15.0,,,23.0
422,1413,1204,H,san-diego-state,57,-810,0.8901098901098901,4,W,15.0,12.0,15.0,12.0,15.0,14.0,11.0,14.0,14.0,15.0,13.0,12.0,13.0,16.0,18.0,12.0,14.0,16.0,14.0,17.0,12.0,12.0,13.0,13.0,15.0,12.0,13.0,12.0,17.0,13.0,13.0,15.0,12.0,13.0,13.0,10.0,17.0,16.0,13.0,13.0,14.0,12.0,16.0,13.0,13.0,16.0,17.0,15.0,16.0,17.0,13.0,13.0,12.0,14.0,12.0,15.0,12.0,14.0,19.0,14.0,13.0,19.0,13.0,12.0,13.0
423,1422,1205,V,texas,51,660,0.13157894736842105,4,L,6.0,8.0,5.0,4.0,7.0,7.0,5.0,5.0,6.0,8.0,6.0,6.0,8.0,9.0,10.0,8.0,9.0,7.0,5.0,6.0,7.0,5.0,8.0,8.0,6.0,5.0,6.0,5.0,8.0,6.0,9.0,6.0,7.0,9.0,9.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,6.0,9.0,8.0,5.0,5.0,6.0,5.0,5.0,5.0,10.0,11.0,7.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,10.0,7.0
424,1423,1205,H,kentucky,63,-910,0.900990099009901,4,W,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
425,1424,1205,V,yale,45,340,0.22727272727272727,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,1425,1205,H,connecticut,44,-430,0.8113207547169812,4,L,25.0,,,,,,,,,,24.0,25.0,,,25.0,18.0,,,23.0,,,18.0,15.0,,25.0,,,25.0,,,,,24.0,19.0,,,,21.0,18.0,20.0,,,,,,25.0,,,25.0,,,,,23.0,,,25.0,25.0,,,25.0,23.0,,,
427,1426,1205,V,providence,60,-145,0.5918367346938775,4,L,,23.0,24.0,20.0,25.0,,,,,24.0,,22.0,21.0,,,,,23.0,,,,,,,,,,23.0,,25.0,,,,,,,,,,,,24.0,,24.0,22.0,,,,,,,25.0,,,18.0,,,,,24.0,,,25.0,21.0,25.0
428,1429,1205,H,pittsburgh,76,-390,0.7959183673469388,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,1430,1205,V,wyoming,53,180,0.35714285714285715,4,L,,,,24.0,,,,,,,,,,,,,,,,24.0,,,,23.0,,,,,,,,,,,,24.0,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,
430,1433,1205,H,louisville,82,-48000,0.997920997920998,4,W,5.0,9.0,7.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,7.0,8.0,6.0,7.0,5.0,8.0,9.0,4.0,7.0,10.0,6.0,5.0,8.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,9.0,10.0,5.0,8.0,5.0,5.0,11.0,13.0,6.0,5.0,8.0,6.0,5.0,9.0,11.0,6.0,7.0,7.0,5.0,7.0,5.0,6.0,7.0,5.0,8.0,5.0,11.0,5.0,6.0,5.0
431,1434,1205,V,florida,65,285,0.2597402597402597,4,L,22.0,,,,,,,,,,,,,,23.0,,,21.0,,,,,25.0,,,,,,25.0,,,,,15.0,,,,,,,,,,,,,,,,24.0,20.0,,,,,,,22.0,,,23.0,,,,
432,1435,1205,H,kansas,71,-355,0.7802197802197802,4,W,10.0,10.0,11.0,11.0,8.0,11.0,13.0,8.0,11.0,12.0,10.0,10.0,10.0,11.0,9.0,5.0,12.0,11.0,9.0,11.0,9.0,7.0,10.0,11.0,8.0,11.0,11.0,9.0,12.0,8.0,10.0,8.0,10.0,8.0,11.0,12.0,11.0,6.0,10.0,8.0,12.0,8.0,4.0,12.0,9.0,13.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,12.0,11.0,7.0,11.0,6.0,12.0,8.0,6.0
433,1437,1205,H,oklahoma,82,-1070,0.9145299145299145,4,W,,19.0,22.0,16.0,,21.0,20.0,22.0,22.0,21.0,,19.0,23.0,,,20.0,,20.0,,,23.0,17.0,21.0,,12.0,21.0,25.0,21.0,,21.0,,22.0,,23.0,22.0,16.0,,,24.0,24.0,,,21.0,25.0,18.0,24.0,,21.0,21.0,15.0,,20.0,15.0,16.0,21.0,20.0,20.0,20.0,,19.0,,16.0,,17.0,24.0
434,1449,1206,H,temple,58,-145,0.5918367346938775,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,1451,1206,H,seton-hall,81,-495,0.8319327731092437,4,W,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1454,1206,V,oklahoma-state,49,-125,0.5555555555555556,4,L,19.0,,,,,23.0,,,23.0,,,,,,,,22.0,25.0,,,,,,,,,,,20.0,,,,23.0,21.0,,,18.0,,,,,19.0,,,,,21.0,,,,21.0,,,,,22.0,,,23.0,,21.0,,,,
437,1455,1206,H,south-carolina,75,105,0.4878048780487805,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,1456,1206,V,wisconsin,49,-795,0.888268156424581,4,W,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,9.0,4.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0
439,1459,1206,H,villanova,74,-5500,0.9821428571428571,4,W,12.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,7.0,7.0,9.0,11.0,9.0,10.0,8.0,11.0,5.0,12.0,11.0,9.0,10.0,10.0,11.0,10.0,7.0,10.0,8.0,6.0,9.0,11.0,8.0,10.0,11.0,12.0,10.0,8.0,9.0,10.0,12.0,9.0,11.0,7.0,3.0,5.0,10.0,9.0,13.0,12.0,6.0,10.0,12.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,12.0,11.0,12.0,10.0,8.0,9.0,11.0
440,1461,1206,H,florida-state,96,-920,0.9019607843137255,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,1462,1206,V,virginia,74,-108,0.5192307692307693,4,W,7.0,7.0,6.0,6.0,5.0,12.0,7.0,7.0,8.0,10.0,5.0,7.0,6.0,8.0,5.0,10.0,6.0,9.0,6.0,7.0,11.0,11.0,7.0,6.0,11.0,7.0,7.0,10.0,7.0,10.0,6.0,7.0,5.0,7.0,8.0,11.0,5.0,8.0,9.0,6.0,7.0,9.0,5.0,10.0,6.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,5.0,6.0,5.0,6.0,11.0,6.0,10.0,10.0,8.0,7.0,11.0,11.0,9.0
442,1474,1206,V,kansas-state,64,110,0.47619047619047616,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,1475,1206,H,tennessee,65,-130,0.5652173913043478,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,1477,1206,H,butler,65,-650,0.8666666666666667,4,W,,20.0,,17.0,21.0,24.0,23.0,24.0,,20.0,16.0,20.0,20.0,24.0,,23.0,,,19.0,,22.0,20.0,,24.0,13.0,23.0,21.0,22.0,,22.0,24.0,,,,24.0,17.0,,22.0,,25.0,18.0,20.0,,,19.0,,25.0,23.0,22.0,,,21.0,21.0,17.0,22.0,23.0,21.0,,18.0,20.0,,17.0,20.0,19.0,
445,1478,1206,V,gonzaga,63,175,0.36363636363636365,4,L,9.0,6.0,9.0,9.0,11.0,8.0,10.0,12.0,10.0,9.0,8.0,9.0,12.0,7.0,7.0,6.0,10.0,5.0,8.0,8.0,6.0,6.0,9.0,5.0,5.0,9.0,9.0,13.0,10.0,7.0,12.0,11.0,8.0,11.0,5.0,6.0,7.0,11.0,5.0,11.0,9.0,6.0,7.0,8.0,7.0,12.0,10.0,11.0,11.0,7.0,11.0,11.0,6.0,9.0,8.0,9.0,5.0,8.0,7.0,9.0,10.0,9.0,9.0,7.0,12.0
446,1479,1206,H,arizona,66,-205,0.6721311475409836,4,W,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0
447,1481,1206,H,syracuse,57,-320,0.7619047619047619,4,L,,25.0,23.0,,,,,,,,,,,,20.0,,25.0,,,,,,,,,,,,18.0,,,,,22.0,,,23.0,,,,,,,,,21.0,22.0,,,19.0,23.0,,,,,,,,22.0,,,,,,
448,1482,1206,V,penn-state,73,-305,0.7530864197530864,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1485,1206,H,dayton,73,-530,0.8412698412698413,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,1486,1206,V,rhode-island,75,-210,0.6774193548387096,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,1492,1206,V,alabama,84,285,0.2597402597402597,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,1493,1206,H,xavier,97,-355,0.7802197802197802,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,1495,1206,H,wichita-state,81,-4250,0.9770114942528736,4,W,8.0,5.0,8.0,7.0,10.0,5.0,8.0,10.0,9.0,6.0,11.0,8.0,7.0,6.0,11.0,9.0,7.0,8.0,10.0,10.0,5.0,8.0,6.0,9.0,9.0,8.0,10.0,7.0,6.0,9.0,7.0,9.0,9.0,6.0,6.0,5.0,8.0,9.0,6.0,10.0,8.0,10.0,10.0,7.0,11.0,6.0,7.0,10.0,10.0,14.0,10.0,5.0,8.0,8.0,11.0,8.0,8.0,9.0,9.0,6.0,9.0,8.0,7.0,3.0,8.0
454,1499,1206,H,northern-iowa,71,-1085,0.9156118143459916,4,W,18.0,,,,24.0,,24.0,,25.0,,,,,21.0,,25.0,,24.0,,15.0,,,,25.0,,,23.0,,,23.0,22.0,,,24.0,21.0,21.0,22.0,,,,23.0,,,22.0,,,19.0,24.0,24.0,,25.0,,,,,25.0,,24.0,,25.0,,25.0,,,
455,1501,1206,H,valparaiso,46,-405,0.801980198019802,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,1503,1206,H,byu,90,NL,0.5,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,1512,1206,V,boise-state,82,215,0.31746031746031744,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,1539,1206,H,murray-state,93,NL,0.5,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,1545,1206,H,northeastern,81,-240,0.7058823529411765,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,1547,1206,H,michigan,70,-20000,0.9950248756218906,4,L,23.0,21.0,18.0,18.0,19.0,16.0,19.0,25.0,19.0,18.0,22.0,15.0,17.0,22.0,22.0,14.0,17.0,19.0,,22.0,18.0,16.0,22.0,17.0,22.0,19.0,17.0,19.0,15.0,20.0,,21.0,16.0,17.0,15.0,19.0,21.0,19.0,15.0,17.0,20.0,15.0,17.0,18.0,16.0,18.0,24.0,17.0,17.0,,17.0,19.0,14.0,20.0,20.0,21.0,19.0,19.0,20.0,16.0,20.0,24.0,21.0,15.0,20.0
461,1549,1206,H,michigan-state,85,-37800,0.9973614775725593,4,W,24.0,16.0,17.0,21.0,20.0,20.0,25.0,15.0,21.0,19.0,,16.0,16.0,,24.0,16.0,,18.0,20.0,20.0,21.0,15.0,16.0,18.0,18.0,20.0,20.0,24.0,16.0,19.0,18.0,24.0,18.0,,18.0,15.0,24.0,17.0,16.0,18.0,24.0,16.0,23.0,21.0,20.0,20.0,23.0,19.0,18.0,16.0,16.0,18.0,16.0,19.0,17.0,17.0,16.0,18.0,,23.0,16.0,20.0,,16.0,16.0
462,1551,1206,H,ohio-state,70,-15000,0.9933774834437086,4,W,13.0,14.0,13.0,15.0,14.0,17.0,14.0,19.0,13.0,13.0,12.0,13.0,18.0,13.0,13.0,15.0,13.0,13.0,16.0,16.0,13.0,14.0,19.0,14.0,17.0,13.0,12.0,14.0,13.0,14.0,17.0,13.0,13.0,14.0,14.0,14.0,15.0,13.0,14.0,16.0,13.0,13.0,19.0,14.0,12.0,11.0,12.0,13.0,12.0,12.0,14.0,14.0,19.0,12.0,16.0,13.0,14.0,13.0,13.0,13.0,14.0,,18.0,14.0,14.0
463,1554,1206,V,utep,64,-180,0.6428571428571429,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,1556,1207,V,colorado,57,170,0.37037037037037035,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,1557,1207,H,georgia,64,-200,0.6666666666666666,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,1564,1207,V,hofstra,68,-310,0.7560975609756098,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,1567,1207,H,north-carolina,108,-12500,0.9920634920634921,4,W,11.0,15.0,12.0,19.0,12.0,10.0,12.0,11.0,12.0,11.0,17.0,21.0,11.0,12.0,12.0,13.0,15.0,10.0,12.0,12.0,17.0,13.0,12.0,12.0,14.0,15.0,16.0,11.0,11.0,12.0,11.0,12.0,14.0,10.0,12.0,18.0,12.0,12.0,11.0,12.0,10.0,21.0,12.0,11.0,14.0,10.0,11.0,9.0,15.0,9.0,7.0,12.0,13.0,18.0,14.0,12.0,13.0,11.0,8.0,12.0,7.0,18.0,10.0,22.0,10.0
468,1568,1207,V,tulsa,78,-270,0.7297297297297297,4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1570,1207,V,arkansas,65,-150,0.6,4,L,21.0,17.0,19.0,,16.0,19.0,17.0,21.0,20.0,17.0,19.0,18.0,15.0,17.0,16.0,,19.0,17.0,25.0,23.0,14.0,23.0,18.0,20.0,19.0,17.0,18.0,17.0,19.0,17.0,15.0,17.0,21.0,18.0,20.0,23.0,16.0,20.0,21.0,22.0,17.0,18.0,14.0,19.0,21.0,17.0,16.0,22.0,20.0,20.0,,17.0,22.0,21.0,19.0,19.0,18.0,21.0,21.0,17.0,18.0,22.0,19.0,,19.0
470,1573,1207,H,oregon,73,-345,0.7752808988764045,4,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,1574,1207,V,california,63,-390,0.7959183673469388,4,W,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,
