,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,jim-benson,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,christian-caple,jerry-carino,andrew-carter,chris-dachille,kieran-darcy,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,ben-frederickson,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,brian-howell,cecil-hurt,marcus-jackson,joey-johnston,joe-juliano,tom-keegan,bill-knight,chris-lang,kevin-lyttle,fletcher-mackel,scott-mansch,brandon-marcello,matt-mccoy,john-mcnamara,kevin-mcnamara,ron-morris,chris-murray,zach-osterman,soren-petro,steve-pivovar,bj-rains,joe-rexrode,randy-rosetta,daniel-shirley,jason-smith,bret-strelow,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,john-werner,tj-werre,gary-williams,jon-wilner,steve-wiseman,scott-wolf,paul-zeise
47,181,1116,H,kentucky,71,NL,0.5,1,W,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48,193,1116,H,penn-state,73,-922,0.9021526418786693,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,194,1116,V,valparaiso,41,161,0.3831417624521073,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,201,1116,H,arizona,86,NL,0.5,1,W,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,5.0,2.0,3.0,5.0,4.0,2.0,2.0
51,205,1116,H,seton-hall,63,-800,0.8888888888888888,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,209,1116,H,pittsburgh,63,NL,0.5,1,W,,25.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,24.0,,,25.0,,,,,,,,,,,,,,,24.0,,,,23.0,,,,,,25.0,,,,,,,23.0
53,211,1116,H,wisconsin,89,NL,0.5,1,W,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,6.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,11.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,10.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,7.0,4.0,3.0,3.0,4.0,3.0,9.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0
54,215,1116,H,purdue,77,NL,0.5,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,217,1116,H,wyoming,78,-723,0.8784933171324423,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,219,1116,H,stanford,84,NL,0.5,1,W,,,,22.0,25.0,23.0,18.0,,21.0,24.0,,,23.0,,24.0,,,22.0,25.0,,24.0,25.0,,,,,25.0,,,23.0,,25.0,,,,,,,25.0,,,,12.0,,25.0,,,25.0,,,25.0,,25.0,,,,,,23.0,23.0,,,21.0,,
