,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,chris-basnett,jessica-benson,mark-berman,sam-blum,dave-borges,rick-bozich,tom-bragg,kevin-brockway,lauren-brownlow,joe-buettner,jeff-call,jerry-carino,christina-chambers,david-cloninger,james-crepea,rob-dauster,seth-davis,luke-decock,donna-ditota,doug-doughty,jack-ebling,wayne-epps,john-feinstein,marcus-fuller,geoff-grammer,adam-grosbard,jordan-hansen,steve-hewitt,brian-holland,bob-holt,cecil-hurt,joe-juliano,lauren-kirschman,paul-klee,zach-klein,joey-knight,chad-leistikow,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,stephen-means,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,bruce-pascoe,dave-preston,troy-provostheron,jeff-rabjohns,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,ben-steele,nick-suss,bob-sutton,edgar-thompson,terry-toohey,dick-vitale,ken-weinman,john-werner,jon-wilner,scott-wolf
69,273,1108,H,lsu,88,-1200,0.9230769230769231,1,W,234,,,21.0,23.0,19.0,,16.0,24.0,,,19.0,,19.0,,,19.0,,,,19.0,,18.0,,19.0,22.0,21.0,,17.0,,25.0,,23.0,,,23.0,22.0,23.0,19.0,,17.0,,24.0,23.0,21.0,19.0,,,19.0,19.0,,20.0,20.0,15.0,21.0,19.0,,20.0,23.0,19.0,25.0,20.0,22.0,19.0,16.0,20.0
52,203,1106,H,arizona,91,-6000,0.9836065573770492,1,W,265,23.0,19.0,,,,21.0,,,18.0,,,,18.0,,23.0,16.0,22.0,23.0,,21.0,23.0,,20.0,21.0,15.0,17.0,16.0,19.0,25.0,,16.0,,,,21.0,19.0,24.0,,20.0,,25.0,18.0,19.0,,22.0,25.0,,24.0,23.0,20.0,18.0,18.0,19.0,,20.0,22.0,16.0,19.0,,20.0,13.0,21.0,18.0,,13.0
124,505,1110,H,arizona,90,-310,0.7560975609756098,1,W,265,23.0,19.0,,,,21.0,,,18.0,,,,18.0,,23.0,16.0,22.0,23.0,,21.0,23.0,,20.0,21.0,15.0,17.0,16.0,19.0,25.0,,16.0,,,,21.0,19.0,24.0,,20.0,,25.0,18.0,19.0,,22.0,25.0,,24.0,23.0,20.0,18.0,18.0,19.0,,20.0,22.0,16.0,19.0,,20.0,13.0,21.0,18.0,,13.0
26,127,1105,H,xavier,76,-6000,0.9836065573770492,1,W,356,22.0,16.0,23.0,15.0,15.0,,,20.0,19.0,18.0,20.0,21.0,17.0,18.0,21.0,18.0,,,20.0,22.0,21.0,20.0,,,18.0,18.0,21.0,18.0,24.0,18.0,24.0,22.0,17.0,20.0,17.0,20.0,,22.0,17.0,,22.0,17.0,,18.0,18.0,20.0,21.0,14.0,18.0,16.0,,19.0,,20.0,21.0,,21.0,16.0,22.0,19.0,23.0,15.0,17.0,,17.0
67,267,1108,H,xavier,81,-3000,0.967741935483871,1,W,356,22.0,16.0,23.0,15.0,15.0,,,20.0,19.0,18.0,20.0,21.0,17.0,18.0,21.0,18.0,,,20.0,22.0,21.0,20.0,,,18.0,18.0,21.0,18.0,24.0,18.0,24.0,22.0,17.0,20.0,17.0,20.0,,22.0,17.0,,22.0,17.0,,18.0,18.0,20.0,21.0,14.0,18.0,16.0,,19.0,,20.0,21.0,,21.0,16.0,22.0,19.0,23.0,15.0,17.0,,17.0
49,199,1106,H,ohio-state,64,-240,0.7058823529411765,1,W,407,19.0,15.0,22.0,19.0,17.0,18.0,21.0,21.0,15.0,20.0,18.0,19.0,25.0,20.0,15.0,25.0,18.0,21.0,18.0,24.0,25.0,17.0,,12.0,21.0,11.0,23.0,23.0,16.0,17.0,,20.0,19.0,,25.0,15.0,12.0,13.0,21.0,19.0,,15.0,16.0,19.0,23.0,13.0,13.0,,20.0,15.0,24.0,21.0,,18.0,,17.0,19.0,,18.0,17.0,16.0,20.0,21.0,25.0,
130,529,1110,H,ohio-state,76,-7000,0.9859154929577465,1,W,407,19.0,15.0,22.0,19.0,17.0,18.0,21.0,21.0,15.0,20.0,18.0,19.0,25.0,20.0,15.0,25.0,18.0,21.0,18.0,24.0,25.0,17.0,,12.0,21.0,11.0,23.0,23.0,16.0,17.0,,20.0,19.0,,25.0,15.0,12.0,13.0,21.0,19.0,,15.0,16.0,19.0,23.0,13.0,13.0,,20.0,15.0,24.0,21.0,,18.0,,17.0,19.0,,18.0,17.0,16.0,20.0,21.0,25.0,
15,81,1105,H,utah-state,81,-6000,0.9836065573770492,1,W,491,18.0,18.0,16.0,22.0,22.0,16.0,15.0,14.0,20.0,16.0,14.0,11.0,15.0,16.0,18.0,15.0,23.0,24.0,17.0,15.0,15.0,21.0,,22.0,19.0,,17.0,16.0,13.0,21.0,,17.0,14.0,17.0,22.0,18.0,20.0,24.0,22.0,14.0,18.0,19.0,20.0,23.0,16.0,,20.0,21.0,22.0,22.0,16.0,14.0,23.0,12.0,16.0,16.0,17.0,18.0,12.0,18.0,25.0,19.0,22.0,15.0,14.0
75,285,1108,H,utah-state,89,-2500,0.9615384615384616,1,W,491,18.0,18.0,16.0,22.0,22.0,16.0,15.0,14.0,20.0,16.0,14.0,11.0,15.0,16.0,18.0,15.0,23.0,24.0,17.0,15.0,15.0,21.0,,22.0,19.0,,17.0,16.0,13.0,21.0,,17.0,14.0,17.0,22.0,18.0,20.0,24.0,22.0,14.0,18.0,19.0,20.0,23.0,16.0,,20.0,21.0,22.0,22.0,16.0,14.0,23.0,12.0,16.0,16.0,17.0,18.0,12.0,18.0,25.0,19.0,22.0,15.0,14.0
21,91,1105,H,baylor,105,-13500,0.9926470588235294,1,W,523,16.0,17.0,14.0,18.0,13.0,12.0,14.0,15.0,14.0,23.0,15.0,18.0,23.0,19.0,17.0,20.0,24.0,11.0,11.0,23.0,,14.0,,18.0,23.0,25.0,19.0,21.0,19.0,14.0,21.0,16.0,25.0,22.0,16.0,17.0,11.0,18.0,16.0,18.0,,16.0,17.0,16.0,17.0,14.0,16.0,15.0,13.0,21.0,23.0,16.0,14.0,19.0,17.0,18.0,18.0,,13.0,16.0,22.0,18.0,16.0,20.0,18.0
