,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,chris-basnett,jessica-benson,mark-berman,sam-blum,dave-borges,rick-bozich,tom-bragg,kevin-brockway,lauren-brownlow,joe-buettner,jeff-call,jerry-carino,christina-chambers,david-cloninger,james-crepea,rob-dauster,seth-davis,luke-decock,donna-ditota,doug-doughty,jack-ebling,wayne-epps,john-feinstein,marcus-fuller,geoff-grammer,adam-grosbard,jordan-hansen,steve-hewitt,brian-holland,bob-holt,cecil-hurt,joe-juliano,lauren-kirschman,paul-klee,zach-klein,joey-knight,chad-leistikow,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,stephen-means,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,bruce-pascoe,dave-preston,troy-provostheron,jeff-rabjohns,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,ben-steele,nick-suss,bob-sutton,edgar-thompson,terry-toohey,dick-vitale,ken-weinman,john-werner,jon-wilner,scott-wolf
1290,5409,114,H,villanova,79,-550,0.8461538461538461,11,W,822,13.0,14.0,11.0,14.0,16.0,15.0,10.0,16.0,12.0,14.0,11.0,14.0,14.0,11.0,16.0,18.0,12.0,15.0,13.0,14.0,15.0,13.0,13.0,15.0,14.0,12.0,16.0,12.0,15.0,14.0,15.0,12.0,12.0,12.0,10.0,13.0,14.0,16.0,12.0,14.0,13.0,19.0,14.0,13.0,14.0,25.0,10.0,6.0,14.0,9.0,13.0,12.0,12.0,12.0,10.0,14.0,13.0,11.0,13.0,14.0,13.0,13.0,15.0,11.0,13.0
1364,5693,118,H,villanova,61,-550,0.8461538461538461,11,W,822,13.0,14.0,11.0,14.0,16.0,15.0,10.0,16.0,12.0,14.0,11.0,14.0,14.0,11.0,16.0,18.0,12.0,15.0,13.0,14.0,15.0,13.0,13.0,15.0,14.0,12.0,16.0,12.0,15.0,14.0,15.0,12.0,12.0,12.0,10.0,13.0,14.0,16.0,12.0,14.0,13.0,19.0,14.0,13.0,14.0,25.0,10.0,6.0,14.0,9.0,13.0,12.0,12.0,12.0,10.0,14.0,13.0,11.0,13.0,14.0,13.0,13.0,15.0,11.0,13.0
1286,5403,114,H,dayton,79,-400,0.8,11,W,842,12.0,13.0,14.0,10.0,18.0,13.0,15.0,14.0,10.0,15.0,12.0,13.0,13.0,13.0,15.0,9.0,14.0,10.0,18.0,12.0,9.0,12.0,10.0,16.0,10.0,14.0,14.0,14.0,14.0,12.0,11.0,13.0,11.0,11.0,15.0,16.0,15.0,15.0,14.0,8.0,11.0,14.0,16.0,12.0,15.0,7.0,17.0,14.0,12.0,14.0,14.0,15.0,15.0,14.0,12.0,13.0,12.0,15.0,19.0,13.0,15.0,12.0,13.0,6.0,11.0
1348,5668,117,V,dayton,78,-330,0.7674418604651163,11,W,842,12.0,13.0,14.0,10.0,18.0,13.0,15.0,14.0,10.0,15.0,12.0,13.0,13.0,13.0,15.0,9.0,14.0,10.0,18.0,12.0,9.0,12.0,10.0,16.0,10.0,14.0,14.0,14.0,14.0,12.0,11.0,13.0,11.0,11.0,15.0,16.0,15.0,15.0,14.0,8.0,11.0,14.0,16.0,12.0,15.0,7.0,17.0,14.0,12.0,14.0,14.0,15.0,15.0,14.0,12.0,13.0,12.0,15.0,19.0,13.0,15.0,12.0,13.0,6.0,11.0
1292,5411,114,H,west-virginia,81,-350,0.7777777777777778,11,W,911,16.0,11.0,7.0,7.0,14.0,10.0,8.0,11.0,13.0,11.0,13.0,15.0,12.0,12.0,14.0,14.0,8.0,7.0,8.0,13.0,8.0,15.0,11.0,13.0,13.0,11.0,12.0,13.0,21.0,13.0,9.0,14.0,13.0,10.0,20.0,10.0,12.0,9.0,11.0,11.0,10.0,12.0,8.0,14.0,13.0,9.0,13.0,11.0,15.0,10.0,12.0,13.0,11.0,6.0,13.0,11.0,14.0,13.0,15.0,15.0,17.0,15.0,12.0,10.0,14.0
1374,5726,118,V,west-virginia,68,-300,0.75,11,L,911,16.0,11.0,7.0,7.0,14.0,10.0,8.0,11.0,13.0,11.0,13.0,15.0,12.0,12.0,14.0,14.0,8.0,7.0,8.0,13.0,8.0,15.0,11.0,13.0,13.0,11.0,12.0,13.0,21.0,13.0,9.0,14.0,13.0,10.0,20.0,10.0,12.0,9.0,11.0,11.0,10.0,12.0,8.0,14.0,13.0,9.0,13.0,11.0,15.0,10.0,12.0,13.0,11.0,6.0,13.0,11.0,14.0,13.0,15.0,15.0,17.0,15.0,12.0,10.0,14.0
1278,5378,114,V,louisville,73,-260,0.7222222222222222,11,W,943,11.0,10.0,13.0,17.0,10.0,8.0,12.0,10.0,15.0,13.0,9.0,10.0,10.0,10.0,12.0,13.0,22.0,14.0,16.0,10.0,14.0,10.0,15.0,11.0,12.0,9.0,9.0,7.0,9.0,11.0,10.0,9.0,10.0,15.0,13.0,12.0,11.0,12.0,13.0,13.0,15.0,11.0,12.0,10.0,12.0,8.0,11.0,13.0,13.0,12.0,10.0,11.0,14.0,9.0,16.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0
1403,5836,118,V,louisville,79,300,0.25,11,W,943,11.0,10.0,13.0,17.0,10.0,8.0,12.0,10.0,15.0,13.0,9.0,10.0,10.0,10.0,12.0,13.0,22.0,14.0,16.0,10.0,14.0,10.0,15.0,11.0,12.0,9.0,9.0,7.0,9.0,11.0,10.0,9.0,10.0,15.0,13.0,12.0,11.0,12.0,13.0,13.0,15.0,11.0,12.0,10.0,12.0,8.0,11.0,13.0,13.0,12.0,10.0,11.0,14.0,9.0,16.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0
1302,5426,115,V,kentucky,78,-270,0.7297297297297297,11,L,960,10.0,12.0,12.0,15.0,12.0,12.0,11.0,12.0,9.0,10.0,14.0,12.0,11.0,14.0,9.0,11.0,10.0,17.0,11.0,11.0,13.0,11.0,12.0,12.0,11.0,13.0,11.0,11.0,10.0,10.0,12.0,11.0,14.0,9.0,11.0,11.0,10.0,11.0,8.0,15.0,12.0,10.0,13.0,11.0,11.0,20.0,8.0,12.0,9.0,13.0,11.0,10.0,9.0,13.0,4.0,10.0,11.0,7.0,5.0,12.0,8.0,11.0,11.0,13.0,15.0
1393,5792,118,V,kentucky,73,120,0.45454545454545453,11,W,960,10.0,12.0,12.0,15.0,12.0,12.0,11.0,12.0,9.0,10.0,14.0,12.0,11.0,14.0,9.0,11.0,10.0,17.0,11.0,11.0,13.0,11.0,12.0,12.0,11.0,13.0,11.0,11.0,10.0,10.0,12.0,11.0,14.0,9.0,11.0,11.0,10.0,11.0,8.0,15.0,12.0,10.0,13.0,11.0,11.0,20.0,8.0,12.0,9.0,13.0,11.0,10.0,9.0,13.0,4.0,10.0,11.0,7.0,5.0,12.0,8.0,11.0,11.0,13.0,15.0
1307,5435,115,H,florida-state,54,-280,0.7368421052631579,11,W,1093,9.0,8.0,10.0,9.0,5.0,6.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,11.0,8.0,9.0,7.0,10.0,9.0,6.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,18.0,10.0,8.0,7.0,8.0,7.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,14.0,14.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0
1357,5682,118,V,florida-state,83,-260,0.7222222222222222,11,W,1093,9.0,8.0,10.0,9.0,5.0,6.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,11.0,8.0,9.0,7.0,10.0,9.0,6.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,18.0,10.0,8.0,7.0,8.0,7.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,14.0,14.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0,8.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0
1339,5610,116,V,oregon,61,-500,0.8333333333333334,11,L,1163,8.0,9.0,9.0,11.0,7.0,9.0,7.0,8.0,11.0,7.0,8.0,8.0,8.0,7.0,8.0,10.0,9.0,11.0,10.0,9.0,11.0,8.0,9.0,7.0,7.0,6.0,8.0,5.0,5.0,8.0,7.0,6.0,9.0,14.0,9.0,9.0,7.0,7.0,6.0,9.0,6.0,9.0,10.0,7.0,9.0,16.0,6.0,7.0,8.0,6.0,5.0,8.0,8.0,8.0,5.0,5.0,8.0,9.0,8.0,7.0,11.0,8.0,8.0,5.0,9.0
1389,5764,118,V,oregon,64,-140,0.5833333333333334,11,W,1163,8.0,9.0,9.0,11.0,7.0,9.0,7.0,8.0,11.0,7.0,8.0,8.0,8.0,7.0,8.0,10.0,9.0,11.0,10.0,9.0,11.0,8.0,9.0,7.0,7.0,6.0,8.0,5.0,5.0,8.0,7.0,6.0,9.0,14.0,9.0,9.0,7.0,7.0,6.0,9.0,6.0,9.0,10.0,7.0,9.0,16.0,6.0,7.0,8.0,6.0,5.0,8.0,8.0,8.0,5.0,5.0,8.0,9.0,8.0,7.0,11.0,8.0,8.0,5.0,9.0
1299,5422,114,V,san-diego-state,64,-380,0.7916666666666666,11,W,1266,4.0,5.0,5.0,5.0,4.0,11.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,5.0,5.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,8.0,5.0,5.0,5.0,10.0,6.0,7.0,8.0,8.0,7.0,6.0,5.0,5.0,5.0,10.0,9.0,7.0,7.0,7.0,5.0,6.0,5.0,11.0,4.0,8.0,6.0,4.0,6.0,5.0,6.0,5.0,9.0,6.0,7.0,6.0,7.0,8.0,9.0,6.0,5.0,12.0,7.0
1411,5875,118,H,san-diego-state,68,-1300,0.9285714285714286,11,W,1266,4.0,5.0,5.0,5.0,4.0,11.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,5.0,5.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,8.0,5.0,5.0,5.0,10.0,6.0,7.0,8.0,8.0,7.0,6.0,5.0,5.0,5.0,10.0,9.0,7.0,7.0,7.0,5.0,6.0,5.0,11.0,4.0,8.0,6.0,4.0,6.0,5.0,6.0,5.0,9.0,6.0,7.0,6.0,7.0,8.0,9.0,6.0,5.0,12.0,7.0
1293,5412,114,V,kansas,66,-220,0.6875,11,W,1286,6.0,7.0,6.0,8.0,6.0,7.0,5.0,7.0,6.0,5.0,4.0,7.0,6.0,6.0,4.0,6.0,3.0,9.0,5.0,8.0,7.0,5.0,8.0,5.0,8.0,8.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,4.0,6.0,6.0,8.0,6.0,5.0,6.0,8.0,6.0,7.0,8.0,7.0,2.0,7.0,5.0,4.0,7.0,7.0,7.0,7.0,3.0,6.0,9.0,6.0,5.0,10.0,6.0,6.0,7.0,6.0,7.0,5.0
1377,5730,118,V,kansas,66,-360,0.782608695652174,11,W,1286,6.0,7.0,6.0,8.0,6.0,7.0,5.0,7.0,6.0,5.0,4.0,7.0,6.0,6.0,4.0,6.0,3.0,9.0,5.0,8.0,7.0,5.0,8.0,5.0,8.0,8.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,4.0,6.0,6.0,8.0,6.0,5.0,6.0,8.0,6.0,7.0,8.0,7.0,2.0,7.0,5.0,4.0,7.0,7.0,7.0,7.0,3.0,6.0,9.0,6.0,5.0,10.0,6.0,6.0,7.0,6.0,7.0,5.0
1301,5425,115,H,butler,70,-210,0.6774193548387096,11,L,1299,5.0,4.0,4.0,6.0,8.0,5.0,13.0,5.0,5.0,8.0,7.0,5.0,5.0,8.0,6.0,4.0,5.0,3.0,4.0,5.0,5.0,6.0,5.0,6.0,4.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,5.0,5.0,7.0,4.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,6.0,4.0,12.0,10.0,7.0,5.0,8.0,6.0,4.0,10.0,11.0,7.0,5.0,12.0,6.0,5.0,5.0,5.0,7.0,4.0,6.0
1366,5702,118,V,butler,66,-170,0.6296296296296297,11,L,1299,5.0,4.0,4.0,6.0,8.0,5.0,13.0,5.0,5.0,8.0,7.0,5.0,5.0,8.0,6.0,4.0,5.0,3.0,4.0,5.0,5.0,6.0,5.0,6.0,4.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,5.0,5.0,7.0,4.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,5.0,6.0,4.0,12.0,10.0,7.0,5.0,8.0,6.0,4.0,10.0,11.0,7.0,5.0,12.0,6.0,5.0,5.0,5.0,7.0,4.0,6.0
1326,5496,115,V,auburn,64,-135,0.574468085106383,11,L,1359,7.0,6.0,8.0,2.0,9.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,8.0,4.0,8.0,6.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,12.0,5.0,4.0,5.0,8.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,17.0,4.0
1368,5708,118,V,auburn,47,135,0.425531914893617,11,L,1359,7.0,6.0,8.0,2.0,9.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,7.0,5.0,7.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,8.0,4.0,8.0,6.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,12.0,5.0,4.0,5.0,8.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,17.0,4.0
1281,5382,114,V,duke,72,-650,0.8666666666666667,11,L,1529,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
1404,5837,118,H,duke,73,-400,0.8,11,L,1529,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
1316,5467,115,H,baylor,68,-500,0.8333333333333334,11,W,1567,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
1361,5688,118,V,baylor,75,-250,0.7142857142857143,11,W,1567,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0
1346,5637,116,H,gonzaga,104,-5000,0.9803921568627451,11,W,1574,1.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
1415,5891,118,H,gonzaga,92,-1100,0.9166666666666666,11,W,1574,1.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
1545,6482,125,V,harvard,70,-200,0.6666666666666666,12,W,1,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,6087,121,H,marquette,82,-400,0.8,12,W,2,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,6270,123,V,byu,74,-280,0.7368421052631579,12,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,6334,124,V,marquette,85,240,0.29411764705882354,12,L,2,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,6438,125,V,byu,82,-145,0.5918367346938775,12,L,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,6286,123,V,usc,70,400,0.2,12,L,4,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,25.0,
1537,6448,125,V,usc,75,150,0.4,12,W,4,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,25.0,
1492,6253,123,H,indiana,67,150,0.4,12,W,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,24.0,,,,,,,,25.0,,,,,,,,,,,,,,,
1437,6057,121,H,purdue,62,-260,0.7222222222222222,12,L,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,
1505,6333,124,H,purdue,70,-185,0.6491228070175439,12,W,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,
1425,6007,120,H,virginia,51,-270,0.7297297297297297,12,L,13,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466,6118,122,V,duquesne,55,140,0.4166666666666667,12,L,13,,,,,22.0,,24.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,
1476,6154,122,V,creighton,83,120,0.45454545454545453,12,W,13,,,,,,,,,,,,,,,,25.0,,,,,24.0,,,,,,,,,,,24.0,,,,,,,,,25.0,,,,25.0,,,,25.0,,,,21.0,,,,,,,,,,,,
1526,6376,125,V,duquesne,64,-240,0.7058823529411765,12,L,13,,,,,22.0,,24.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,
1564,6624,126,V,virginia,65,-400,0.8,12,W,13,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,6647,126,H,creighton,77,-240,0.7058823529411765,12,W,13,,,,,,,,,,,,,,,,25.0,,,,,24.0,,,,,,,,,,,24.0,,,,,,,,,25.0,,,,25.0,,,,25.0,,,,21.0,,,,,,,,,,,,
1468,6120,122,V,arkansas,70,160,0.38461538461538464,12,L,19,,,,,,,,,,25.0,,,,,,,,,,23.0,22.0,,,,25.0,,,,25.0,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,23.0
1534,6429,125,H,arkansas,78,-230,0.696969696969697,12,W,19,,,,,,,,,,25.0,,,,,,,,,,23.0,22.0,,,,25.0,,,,25.0,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,23.0
1440,6062,121,V,florida,82,135,0.425531914893617,12,L,21,,,,,,25.0,,24.0,,,,,,,,,,,25.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,24.0,,23.0,,,,,,,,,25.0,22.0,,,,,23.0,,
1502,6312,123,V,liberty,70,-300,0.75,12,L,21,,,25.0,20.0,,,,,,,,,,23.0,,,25.0,,,21.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,
1548,6493,125,H,florida,61,-145,0.5918367346938775,12,L,21,,,,,,25.0,,24.0,,,,,,,,,,,25.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,24.0,,23.0,,,,,,,,,25.0,22.0,,,,,23.0,,
1561,6574,125,V,liberty,43,-1200,0.9230769230769231,12,L,21,,,25.0,20.0,,,,,,,,,,23.0,,,25.0,,,21.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,
1461,6106,122,V,penn-state,72,170,0.37037037037037035,12,W,24,,,,,,,19.0,,25.0,,,,,,,,21.0,,,,,,,,,,,24.0,,,25.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,24.0,,,21.0,
1450,6089,121,H,wisconsin,82,-1900,0.95,12,W,28,,,24.0,,,,,,,,,,,,,,20.0,,22.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,21.0,,,,17.0,,,,,,,,,,,,,,,
1504,6332,124,V,wisconsin,51,155,0.39215686274509803,12,L,28,,,24.0,,,,,,,,,,,,,,20.0,,22.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,21.0,,,,17.0,,,,,,,,,,,,,,,
1576,6658,126,V,stanford,50,-400,0.8,12,L,28,,,,,,,,,,,,,,,23.0,,,,,20.0,19.0,,,,,,,,,24.0,,,,,,,,,,,24.0,,,,21.0,,,24.0,,,,,,,,,,,25.0,,,,,,
1486,6209,123,H,ohio-state,59,-400,0.8,12,L,36,,,,,,,,,,,,,,,18.0,,,,,,,24.0,,,,22.0,,,,,,25.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,24.0,,,,,24.0,,,21.0
1577,6660,126,V,ohio-state,71,-330,0.7674418604651163,12,W,36,,,,,,,,,,,,,,,18.0,,,,,,,24.0,,,,22.0,,,,,,25.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,24.0,,,,,24.0,,,21.0
1480,6160,122,V,northern-iowa,66,-240,0.7058823529411765,12,L,42,,,,21.0,19.0,,,,,,,,,,,,,,,25.0,,,,,,,24.0,,,,,,,,,,22.0,,,21.0,,,,,,,,17.0,,,,,,,,,,,,,,,,17.0,
1571,6649,126,H,northern-iowa,67,-185,0.6491228070175439,12,W,42,,,,21.0,19.0,,,,,,,,,,,,,,,25.0,,,,,,,24.0,,,,,,,,,,22.0,,,21.0,,,,,,,,17.0,,,,,,,,,,,,,,,,17.0,
1462,6107,122,H,michigan,63,-200,0.6666666666666666,12,L,73,22.0,,,,,,,,,21.0,24.0,,24.0,,,22.0,,,,,,25.0,,22.0,,,,,19.0,,,,,,,,,19.0,,,,22.0,,,,22.0,,,21.0,,,,23.0,,23.0,,,,,,,23.0,,19.0,18.0
1515,6347,125,H,michigan,62,-220,0.6875,12,L,73,22.0,,,,,,,,,21.0,24.0,,24.0,,,22.0,,,,,,25.0,,22.0,,,,,19.0,,,,,,,,,19.0,,,,22.0,,,,22.0,,,21.0,,,,23.0,,23.0,,,,,,,23.0,,19.0,18.0
1441,6063,121,H,lsu,84,-155,0.6078431372549019,12,W,83,,,20.0,,,,22.0,,,,,,21.0,21.0,21.0,,,,,,,,,,,,,,,22.0,17.0,,,,,24.0,,20.0,20.0,25.0,20.0,,,,22.0,,,,,,24.0,24.0,,,25.0,,,21.0,18.0,,,,,24.0,
1520,6362,125,V,lsu,69,110,0.47619047619047616,12,W,83,,,20.0,,,,22.0,,,,,,21.0,21.0,21.0,,,,,,,,,,,,,,,22.0,17.0,,,,,24.0,,20.0,20.0,25.0,20.0,,,,22.0,,,,,,24.0,24.0,,,25.0,,,21.0,18.0,,,,,24.0,
1443,6068,121,V,wichita-state,56,-210,0.6774193548387096,12,W,94,25.0,,,,,,21.0,,23.0,23.0,,,,22.0,,,,,,19.0,21.0,,21.0,21.0,,,,23.0,,25.0,24.0,,24.0,21.0,25.0,,,,,,,,,21.0,,,19.0,25.0,19.0,,22.0,19.0,,,,25.0,21.0,25.0,23.0,,,25.0,,,
1553,6517,125,H,wichita-state,87,-900,0.9,12,W,94,25.0,,,,,,21.0,,23.0,23.0,,,,22.0,,,,,,19.0,21.0,,21.0,21.0,,,,23.0,,25.0,24.0,,24.0,21.0,25.0,,,,,,,,,21.0,,,19.0,25.0,19.0,,22.0,19.0,,,,25.0,21.0,25.0,23.0,,,25.0,,,
1494,6269,123,H,houston,63,-500,0.8333333333333334,12,W,151,,22.0,23.0,22.0,24.0,,,22.0,21.0,22.0,23.0,24.0,25.0,18.0,,20.0,24.0,19.0,23.0,,,,18.0,,23.0,,21.0,22.0,,23.0,22.0,,22.0,20.0,23.0,25.0,,,24.0,22.0,,,21.0,18.0,,,,,,,21.0,,,21.0,18.0,24.0,,23.0,,25.0,21.0,,24.0,,24.0
1478,6158,122,V,rutgers,80,190,0.3448275862068966,12,L,152,24.0,23.0,22.0,17.0,,22.0,,23.0,20.0,,25.0,23.0,,20.0,16.0,,23.0,21.0,24.0,,25.0,,,,,24.0,,25.0,,,21.0,23.0,23.0,23.0,24.0,22.0,16.0,,25.0,19.0,23.0,21.0,18.0,25.0,,23.0,24.0,,,21.0,25.0,25.0,,23.0,24.0,22.0,,,,24.0,,,,18.0,25.0
1522,6365,125,H,rutgers,75,-1100,0.9166666666666666,12,W,152,24.0,23.0,22.0,17.0,,22.0,,23.0,20.0,,25.0,23.0,,20.0,16.0,,23.0,21.0,24.0,,25.0,,,,,24.0,,25.0,,,21.0,23.0,23.0,23.0,24.0,22.0,16.0,,25.0,19.0,23.0,21.0,18.0,25.0,,23.0,24.0,,,21.0,25.0,25.0,,23.0,24.0,22.0,,,,24.0,,,,18.0,25.0
1496,6279,123,H,colorado,78,-1400,0.9333333333333333,12,W,154,23.0,25.0,21.0,,,,,,,,17.0,25.0,,,24.0,,18.0,20.0,,,20.0,23.0,,23.0,,,19.0,,22.0,,,22.0,25.0,25.0,,,24.0,23.0,21.0,,21.0,17.0,24.0,22.0,20.0,,25.0,20.0,24.0,19.0,,23.0,24.0,22.0,22.0,,,,19.0,23.0,,12.0,25.0,,
