,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,kayla-anderson,john-bednarowski,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,tom-bragg,lauren-brownlow,jeff-call,jerry-carino,david-cloninger,mark-cooper,graham-couch,james-crepea,richard-croome,seth-davis,luke-decock,donna-ditota,john-feinstein,marcus-fuller,scott-gleeson,geoff-grammer,steve-hewitt,drew-hill,brian-holland,bob-holt,cecil-hurt,terry-hutchens,joe-juliano,paul-klee,joey-knight,theo-lawson,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,bruce-pascoe,dave-preston,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,damien-sordelett,ben-steele,edgar-thompson,terry-toohey,dick-vitale,josh-vitale,ken-weinman,john-werner,tj-werre,brant-wilkerson,jon-wilner,scott-wolf,norm-wood
10,28,1106,V,florida,60,180,0.35714285714285715,1,L,71,23.0,,19.0,,25.0,,25.0,22.0,,,,,22.0,,,25.0,14.0,,,,,,24.0,,,,21.0,20.0,,,,,,23.0,,,25.0,21.0,,,,14.0,,,,,,,,,,,,,24.0,,24.0,,,,,,,,
84,315,1109,H,florida,76,-4500,0.9782608695652174,1,W,71,23.0,,19.0,,25.0,,25.0,22.0,,,,,22.0,,,25.0,14.0,,,,,,24.0,,,,21.0,20.0,,,,,,23.0,,,25.0,21.0,,,,14.0,,,,,,,,,,,,,24.0,,24.0,,,,,,,,
46,173,1106,H,marquette,67,-4500,0.9782608695652174,1,W,124,,18.0,,,,,22.0,20.0,,23.0,24.0,23.0,,,24.0,,22.0,21.0,24.0,,,,,24.0,,23.0,,,20.0,23.0,22.0,24.0,19.0,,24.0,24.0,23.0,22.0,25.0,,,22.0,,21.0,24.0,,,,22.0,,21.0,24.0,,24.0,,23.0,22.0,19.0,,,,,,18.0,
108,447,1110,H,marquette,92,-20000,0.9950248756218906,1,W,124,,18.0,,,,,22.0,20.0,,23.0,24.0,23.0,,,24.0,,22.0,21.0,24.0,,,,,24.0,,23.0,,,20.0,23.0,22.0,24.0,19.0,,24.0,24.0,23.0,22.0,25.0,,,22.0,,21.0,24.0,,,,22.0,,21.0,24.0,,24.0,,23.0,22.0,19.0,,,,,,18.0,
20,55,1106,H,purdue,90,-4000,0.975609756097561,1,W,170,,16.0,24.0,,,18.0,,,25.0,,,,20.0,25.0,20.0,,,,,24.0,,,,,18.0,21.0,24.0,,24.0,,23.0,,17.0,,,16.0,15.0,17.0,,,,,,25.0,,,13.0,,,,15.0,,16.0,21.0,,,,23.0,15.0,16.0,,19.0,25.0,23.0,
96,375,1110,H,purdue,84,-1100,0.9166666666666666,1,W,170,,16.0,24.0,,,18.0,,,25.0,,,,20.0,25.0,20.0,,,,,24.0,,,,,18.0,21.0,24.0,,24.0,,23.0,,17.0,,,16.0,15.0,17.0,,,,,,25.0,,,13.0,,,,15.0,,16.0,21.0,,,,23.0,15.0,16.0,,19.0,25.0,23.0,
44,169,1106,H,lsu,94,-5000,0.9803921568627451,1,W,187,15.0,21.0,,,20.0,23.0,,,21.0,20.0,,21.0,,,,19.0,20.0,,21.0,18.0,20.0,16.0,25.0,,,22.0,23.0,23.0,,22.0,20.0,21.0,20.0,25.0,25.0,22.0,,14.0,23.0,20.0,18.0,,22.0,,25.0,,,20.0,20.0,21.0,,,,20.0,,,,,,,21.0,,24.0,,24.0
80,291,1109,H,lsu,97,-550,0.8461538461538461,1,W,187,15.0,21.0,,,20.0,23.0,,,21.0,20.0,,21.0,,,,19.0,20.0,,21.0,18.0,20.0,16.0,25.0,,,22.0,23.0,23.0,,22.0,20.0,21.0,20.0,25.0,25.0,22.0,,14.0,23.0,20.0,18.0,,22.0,,25.0,,,20.0,20.0,21.0,,,,20.0,,,,,,,21.0,,24.0,,24.0
19,53,1106,H,clemson,100,-21500,0.9953703703703703,1,W,268,,,25.0,15.0,17.0,,,17.0,16.0,22.0,15.0,16.0,23.0,,19.0,22.0,23.0,17.0,,,19.0,,23.0,23.0,17.0,,19.0,21.0,,,,25.0,,17.0,15.0,19.0,,19.0,21.0,25.0,20.0,25.0,21.0,12.0,21.0,,18.0,23.0,25.0,22.0,,14.0,,22.0,20.0,20.0,,,,18.0,19.0,18.0,,,22.0
86,331,1109,H,clemson,71,-30000,0.9966777408637874,1,W,268,,,25.0,15.0,17.0,,,17.0,16.0,22.0,15.0,16.0,23.0,,19.0,22.0,23.0,17.0,,,19.0,,23.0,23.0,17.0,,19.0,21.0,,,,25.0,,17.0,15.0,19.0,,19.0,21.0,25.0,20.0,25.0,21.0,12.0,21.0,,18.0,23.0,25.0,22.0,,14.0,,22.0,20.0,20.0,,,,18.0,19.0,18.0,,,22.0
