,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,kayla-anderson,john-bednarowski,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,tom-bragg,lauren-brownlow,jeff-call,jerry-carino,david-cloninger,mark-cooper,graham-couch,james-crepea,richard-croome,seth-davis,luke-decock,donna-ditota,john-feinstein,marcus-fuller,scott-gleeson,geoff-grammer,steve-hewitt,drew-hill,brian-holland,bob-holt,cecil-hurt,terry-hutchens,joe-juliano,paul-klee,joey-knight,theo-lawson,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,bruce-pascoe,dave-preston,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,damien-sordelett,ben-steele,edgar-thompson,terry-toohey,dick-vitale,josh-vitale,ken-weinman,john-werner,tj-werre,brant-wilkerson,jon-wilner,scott-wolf,norm-wood
1344,5997,120,H,iowa,95,-550,0.8461538461538461,11,W,172,,,17.0,20.0,23.0,18.0,,18.0,25.0,22.0,,,20.0,,25.0,21.0,,21.0,22.0,,20.0,,,21.0,,,25.0,,,20.0,,16.0,22.0,22.0,22.0,22.0,,,22.0,25.0,,,25.0,23.0,25.0,19.0,21.0,25.0,21.0,,22.0,17.0,23.0,25.0,19.0,,24.0,23.0,,24.0,,,19.0,,24.0
1280,5689,118,H,villanova,85,-500,0.8333333333333334,11,W,300,19.0,,18.0,18.0,22.0,23.0,18.0,22.0,21.0,15.0,22.0,22.0,18.0,19.0,24.0,19.0,21.0,24.0,18.0,21.0,22.0,16.0,,23.0,24.0,23.0,21.0,24.0,,24.0,14.0,23.0,20.0,20.0,21.0,20.0,21.0,19.0,24.0,19.0,20.0,21.0,19.0,19.0,23.0,22.0,20.0,23.0,25.0,24.0,24.0,21.0,,22.0,20.0,20.0,19.0,22.0,22.0,22.0,24.0,,20.0,,20.0
1244,5483,116,H,oklahoma,61,-220,0.6875,11,L,394,,24.0,22.0,23.0,19.0,,15.0,16.0,20.0,23.0,21.0,23.0,12.0,22.0,20.0,22.0,14.0,17.0,23.0,,25.0,20.0,18.0,17.0,12.0,18.0,16.0,18.0,,25.0,19.0,22.0,23.0,19.0,24.0,24.0,19.0,12.0,13.0,24.0,19.0,18.0,21.0,22.0,16.0,18.0,22.0,21.0,12.0,19.0,21.0,25.0,22.0,13.0,24.0,25.0,18.0,19.0,18.0,23.0,15.0,25.0,22.0,13.0,17.0
1323,5840,119,V,oklahoma,72,185,0.3508771929824561,11,L,394,,24.0,22.0,23.0,19.0,,15.0,16.0,20.0,23.0,21.0,23.0,12.0,22.0,20.0,22.0,14.0,17.0,23.0,,25.0,20.0,18.0,17.0,12.0,18.0,16.0,18.0,,25.0,19.0,22.0,23.0,19.0,24.0,24.0,19.0,12.0,13.0,24.0,19.0,18.0,21.0,22.0,16.0,18.0,22.0,21.0,12.0,19.0,21.0,25.0,22.0,13.0,24.0,25.0,18.0,19.0,18.0,23.0,15.0,25.0,22.0,13.0,17.0
1212,5391,114,H,maryland,64,-170,0.6296296296296297,11,W,412,21.0,21.0,24.0,19.0,17.0,19.0,16.0,,18.0,,15.0,12.0,14.0,20.0,,20.0,20.0,13.0,21.0,17.0,15.0,22.0,19.0,24.0,15.0,24.0,22.0,16.0,,22.0,20.0,20.0,21.0,16.0,20.0,21.0,20.0,17.0,23.0,21.0,22.0,23.0,20.0,14.0,19.0,23.0,18.0,22.0,23.0,18.0,18.0,18.0,21.0,17.0,17.0,19.0,20.0,20.0,20.0,21.0,19.0,20.0,21.0,18.0,18.0
1274,5678,118,V,maryland,75,140,0.4166666666666667,11,W,412,21.0,21.0,24.0,19.0,17.0,19.0,16.0,,18.0,,15.0,12.0,14.0,20.0,,20.0,20.0,13.0,21.0,17.0,15.0,22.0,19.0,24.0,15.0,24.0,22.0,16.0,,22.0,20.0,20.0,21.0,16.0,20.0,21.0,20.0,17.0,23.0,21.0,22.0,23.0,20.0,14.0,19.0,23.0,18.0,22.0,23.0,18.0,18.0,18.0,21.0,17.0,17.0,19.0,20.0,20.0,20.0,21.0,19.0,20.0,21.0,18.0,18.0
1228,5440,115,V,buffalo,88,-1500,0.9375,11,W,625,12.0,18.0,13.0,13.0,20.0,14.0,24.0,15.0,15.0,18.0,13.0,19.0,16.0,9.0,14.0,15.0,22.0,11.0,13.0,11.0,17.0,18.0,20.0,19.0,20.0,19.0,15.0,17.0,,17.0,16.0,18.0,12.0,15.0,18.0,15.0,16.0,15.0,17.0,16.0,14.0,19.0,22.0,16.0,20.0,16.0,12.0,17.0,22.0,15.0,19.0,15.0,13.0,18.0,15.0,16.0,13.0,17.0,16.0,17.0,20.0,15.0,16.0,15.0,16.0
1277,5685,118,H,buffalo,77,-1500,0.9375,11,W,625,12.0,18.0,13.0,13.0,20.0,14.0,24.0,15.0,15.0,18.0,13.0,19.0,16.0,9.0,14.0,15.0,22.0,11.0,13.0,11.0,17.0,18.0,20.0,19.0,20.0,19.0,15.0,17.0,,17.0,16.0,18.0,12.0,15.0,18.0,15.0,16.0,15.0,17.0,16.0,14.0,19.0,22.0,16.0,20.0,16.0,12.0,17.0,22.0,15.0,19.0,15.0,13.0,18.0,15.0,16.0,13.0,17.0,16.0,17.0,20.0,15.0,16.0,15.0,16.0
1231,5454,115,V,marquette,74,-125,0.5555555555555556,11,W,668,16.0,19.0,15.0,12.0,18.0,13.0,23.0,17.0,16.0,16.0,14.0,18.0,15.0,17.0,22.0,17.0,13.0,14.0,19.0,12.0,16.0,14.0,17.0,14.0,17.0,20.0,17.0,22.0,,16.0,12.0,14.0,16.0,14.0,12.0,14.0,13.0,14.0,12.0,17.0,17.0,,13.0,13.0,18.0,15.0,19.0,12.0,13.0,13.0,17.0,16.0,20.0,14.0,12.0,12.0,14.0,14.0,15.0,16.0,14.0,14.0,14.0,16.0,12.0
1343,5995,120,H,marquette,79,-350,0.7777777777777778,11,W,668,16.0,19.0,15.0,12.0,18.0,13.0,23.0,17.0,16.0,16.0,14.0,18.0,15.0,17.0,22.0,17.0,13.0,14.0,19.0,12.0,16.0,14.0,17.0,14.0,17.0,20.0,17.0,22.0,,16.0,12.0,14.0,16.0,14.0,12.0,14.0,13.0,14.0,12.0,17.0,17.0,,13.0,13.0,18.0,15.0,19.0,12.0,13.0,13.0,17.0,16.0,20.0,14.0,12.0,12.0,14.0,14.0,15.0,16.0,14.0,14.0,14.0,16.0,12.0
1239,5474,116,V,auburn,85,-330,0.7674418604651163,11,W,669,13.0,16.0,11.0,24.0,14.0,15.0,14.0,14.0,11.0,19.0,17.0,20.0,23.0,14.0,16.0,12.0,17.0,12.0,12.0,19.0,13.0,17.0,16.0,18.0,14.0,13.0,19.0,11.0,,11.0,17.0,21.0,11.0,17.0,17.0,11.0,15.0,22.0,20.0,13.0,16.0,11.0,15.0,25.0,13.0,14.0,13.0,16.0,15.0,17.0,14.0,12.0,18.0,19.0,14.0,15.0,15.0,13.0,17.0,12.0,22.0,13.0,18.0,14.0,15.0
1298,5743,119,H,auburn,80,-200,0.6666666666666666,11,L,669,13.0,16.0,11.0,24.0,14.0,15.0,14.0,14.0,11.0,19.0,17.0,20.0,23.0,14.0,16.0,12.0,17.0,12.0,12.0,19.0,13.0,17.0,16.0,18.0,14.0,13.0,19.0,11.0,,11.0,17.0,21.0,11.0,17.0,17.0,11.0,15.0,22.0,20.0,13.0,16.0,11.0,15.0,25.0,13.0,14.0,13.0,16.0,15.0,17.0,14.0,12.0,18.0,19.0,14.0,15.0,15.0,13.0,17.0,12.0,22.0,13.0,18.0,14.0,15.0
1235,5461,115,H,north-carolina,75,-1400,0.9333333333333333,11,W,678,14.0,15.0,16.0,15.0,15.0,16.0,17.0,13.0,17.0,12.0,18.0,15.0,17.0,15.0,9.0,14.0,19.0,18.0,15.0,15.0,19.0,13.0,13.0,15.0,23.0,11.0,12.0,10.0,,15.0,15.0,12.0,13.0,18.0,15.0,17.0,17.0,16.0,18.0,14.0,18.0,10.0,17.0,12.0,12.0,11.0,15.0,20.0,18.0,21.0,15.0,13.0,19.0,20.0,16.0,17.0,16.0,11.0,13.0,14.0,18.0,17.0,13.0,17.0,22.0
1283,5694,119,V,north-carolina,85,-300,0.75,11,W,678,14.0,15.0,16.0,15.0,15.0,16.0,17.0,13.0,17.0,12.0,18.0,15.0,17.0,15.0,9.0,14.0,19.0,18.0,15.0,15.0,19.0,13.0,13.0,15.0,23.0,11.0,12.0,10.0,,15.0,15.0,12.0,13.0,18.0,15.0,17.0,17.0,16.0,18.0,14.0,18.0,10.0,17.0,12.0,12.0,11.0,15.0,20.0,18.0,21.0,15.0,13.0,19.0,20.0,16.0,17.0,16.0,11.0,13.0,14.0,18.0,17.0,13.0,17.0,22.0
1222,5428,115,V,kentucky,69,-360,0.782608695652174,11,W,790,11.0,11.0,14.0,14.0,16.0,11.0,13.0,12.0,12.0,14.0,12.0,14.0,13.0,11.0,15.0,13.0,12.0,23.0,16.0,14.0,14.0,11.0,12.0,12.0,21.0,14.0,20.0,14.0,,14.0,13.0,13.0,15.0,12.0,14.0,13.0,12.0,13.0,14.0,12.0,15.0,13.0,12.0,15.0,17.0,12.0,14.0,13.0,20.0,10.0,12.0,11.0,14.0,16.0,11.0,11.0,10.0,15.0,11.0,13.0,16.0,11.0,12.0,23.0,13.0
1297,5742,119,V,kentucky,82,170,0.37037037037037035,11,W,790,11.0,11.0,14.0,14.0,16.0,11.0,13.0,12.0,12.0,14.0,12.0,14.0,13.0,11.0,15.0,13.0,12.0,23.0,16.0,14.0,14.0,11.0,12.0,12.0,21.0,14.0,20.0,14.0,,14.0,13.0,13.0,15.0,12.0,14.0,13.0,12.0,13.0,14.0,12.0,15.0,13.0,12.0,15.0,17.0,12.0,14.0,13.0,20.0,10.0,12.0,11.0,14.0,16.0,11.0,11.0,10.0,15.0,11.0,13.0,16.0,11.0,12.0,23.0,13.0
1210,5388,114,V,florida-state,62,-210,0.6774193548387096,11,L,918,15.0,13.0,9.0,11.0,11.0,12.0,10.0,11.0,14.0,11.0,11.0,11.0,11.0,12.0,13.0,11.0,10.0,19.0,14.0,13.0,12.0,12.0,11.0,10.0,10.0,10.0,11.0,13.0,,12.0,11.0,11.0,14.0,11.0,11.0,12.0,9.0,11.0,11.0,11.0,12.0,20.0,10.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,14.0,15.0,10.0,13.0,13.0,12.0,12.0,12.0,11.0,10.0,12.0,8.0,10.0,11.0
1340,5992,120,V,florida-state,82,-330,0.7674418604651163,11,L,918,15.0,13.0,9.0,11.0,11.0,12.0,10.0,11.0,14.0,11.0,11.0,11.0,11.0,12.0,13.0,11.0,10.0,19.0,14.0,13.0,12.0,12.0,11.0,10.0,10.0,10.0,11.0,13.0,,12.0,11.0,11.0,14.0,11.0,11.0,12.0,9.0,11.0,11.0,11.0,12.0,20.0,10.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,14.0,15.0,10.0,13.0,13.0,12.0,12.0,12.0,11.0,10.0,12.0,8.0,10.0,11.0
1236,5462,115,V,nevada,72,-360,0.782608695652174,11,W,1015,10.0,10.0,8.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,17.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,12.0,,10.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,12.0,11.0,9.0,10.0,10.0,8.0,10.0,10.0,12.0,9.0,10.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,8.0,10.0
1329,5853,119,H,nevada,67,-4750,0.979381443298969,11,W,1015,10.0,10.0,8.0,10.0,10.0,8.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,17.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,12.0,,10.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,12.0,11.0,9.0,10.0,10.0,8.0,10.0,10.0,12.0,9.0,10.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,8.0,10.0
1229,5450,115,V,virginia-tech,59,275,0.26666666666666666,11,L,1091,9.0,9.0,12.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,7.0,9.0,18.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,12.0,8.0,7.0,,9.0,10.0,9.0,8.0,7.0,7.0,8.0,10.0,10.0,9.0,9.0,8.0,7.0,9.0,10.0,8.0,13.0,7.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,12.0,8.0
1302,5755,119,H,virginia-tech,87,-3500,0.9722222222222222,11,W,1091,9.0,9.0,12.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,7.0,9.0,18.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,12.0,8.0,7.0,,9.0,10.0,9.0,8.0,7.0,7.0,8.0,10.0,10.0,9.0,9.0,8.0,7.0,9.0,10.0,8.0,13.0,7.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,12.0,8.0
1253,5507,116,H,texas-tech,64,-260,0.7222222222222222,11,L,1157,8.0,8.0,10.0,8.0,7.0,10.0,6.0,8.0,7.0,6.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,6.0,9.0,8.0,8.0,9.0,9.0,,8.0,8.0,6.0,9.0,13.0,9.0,7.0,7.0,6.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,8.0,9.0,6.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,7.0,10.0,7.0,9.0
1316,5806,119,V,texas-tech,62,-190,0.6551724137931034,11,L,1157,8.0,8.0,10.0,8.0,7.0,10.0,6.0,8.0,7.0,6.0,8.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,6.0,9.0,8.0,8.0,9.0,9.0,,8.0,8.0,6.0,9.0,13.0,9.0,7.0,7.0,6.0,8.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,8.0,9.0,6.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,7.0,10.0,7.0,9.0
1214,5393,114,H,kansas,80,-340,0.7727272727272727,11,W,1188,7.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,10.0,9.0,7.0,6.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,,7.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,6.0,7.0,5.0,9.0,8.0,6.0,9.0,7.0,9.0,9.0,6.0,7.0,7.0,8.0,9.0,7.0,7.0,7.0,8.0,9.0,7.0,7.0,9.0,9.0,6.0,9.0,7.0
1289,5714,119,V,kansas,64,-220,0.6875,11,L,1188,7.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,10.0,9.0,7.0,6.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,,7.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,6.0,7.0,5.0,9.0,8.0,6.0,9.0,7.0,9.0,9.0,6.0,7.0,7.0,8.0,9.0,7.0,7.0,7.0,8.0,9.0,7.0,7.0,9.0,9.0,6.0,9.0,7.0
1262,5600,117,V,michigan-state,70,-135,0.574468085106383,11,W,1292,6.0,6.0,6.0,5.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,8.0,4.0,6.0,4.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,7.0,5.0,6.0,5.0,,5.0,6.0,8.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,6.0,9.0,5.0,5.0,7.0,5.0,6.0,5.0,6.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0
1265,5607,117,H,gonzaga,73,-7000,0.9859154929577465,11,W,1315,5.0,5.0,5.0,6.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,6.0,,6.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,5.0,5.0,6.0,3.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
1330,5854,119,V,gonzaga,89,-20000,0.9950248756218906,11,W,1315,5.0,5.0,5.0,6.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,6.0,,6.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,5.0,5.0,6.0,3.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
1230,5451,115,H,virginia,81,-350,0.7777777777777778,11,W,1473,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,,3.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0
1281,5692,119,V,virginia,70,170,0.37037037037037035,11,L,1473,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,,3.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0
1224,5431,115,H,tennessee,106,-1600,0.9411764705882353,11,W,1482,2.0,3.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,,4.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,6.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,1.0,3.0
1292,5717,119,H,tennessee,71,-1100,0.9166666666666666,11,W,1482,2.0,3.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,1.0,1.0,,4.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,6.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,1.0,3.0
1284,5696,119,V,michigan,54,-185,0.6491228070175439,11,L,1497,1.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,3.0,,2.0,5.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0
1209,5387,114,H,duke,91,-2000,0.9523809523809523,11,L,1558,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
1282,5693,119,H,duke,72,-200,0.6666666666666666,11,W,1558,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0
1385,6135,123,H,tcu,65,-150,0.6,12,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,
1396,6218,124,V,hofstra,85,-360,0.782608695652174,12,W,1,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,6377,126,H,tcu,55,-180,0.6428571428571429,12,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,
1441,6396,126,V,hofstra,84,-550,0.8461538461538461,12,W,1,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,6105,122,H,florida,81,-800,0.8888888888888888,12,W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,
1410,6273,124,H,san-francisco,83,-3750,0.974025974025974,12,W,2,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,6376,126,V,florida,50,150,0.4,12,L,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,
1475,6530,126,V,san-francisco,63,-170,0.6296296296296297,12,L,2,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,6150,123,V,saint-louis,73,-125,0.5555555555555556,12,L,3,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,6413,126,H,saint-louis,53,-155,0.6078431372549019,12,L,3,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,6285,124,H,wofford,107,-1000,0.9090909090909091,12,W,5,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,
1478,6561,126,H,wofford,80,-2500,0.9615384615384616,12,W,5,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,
1400,6235,124,H,cincinnati,88,-1400,0.9333333333333333,12,W,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
1481,6658,127,V,cincinnati,72,-170,0.6296296296296297,12,W,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
1417,6313,124,H,murray-state,66,-250,0.7142857142857143,12,L,9,25.0,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,23.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,25.0,,,25.0,,,,
1479,6569,126,H,murray-state,100,-1700,0.9444444444444444,12,W,9,25.0,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,23.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,25.0,,,25.0,,,,
1401,6239,124,H,syracuse,73,-430,0.8113207547169812,12,W,13,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,23.0,,,21.0,,
1467,6504,126,V,syracuse,56,255,0.28169014084507044,12,L,13,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,23.0,,,21.0,,
1393,6166,123,V,oklahoma,70,-145,0.5918367346938775,12,W,16,,,,,,,,,17.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,
1451,6433,126,H,oklahoma,86,-550,0.8461538461538461,12,W,16,,,,,,,,,17.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,
1394,6168,123,V,wisconsin,72,-220,0.6875,12,W,64,,,,,,,,,,,,,,17.0,14.0,,15.0,,,,,,,,,23.0,,,,,,,,24.0,,,22.0,,,,24.0,17.0,17.0,,,,,,,,,,,,,,,,,25.0,,24.0,,,
1447,6415,126,H,wisconsin,62,-450,0.8181818181818182,12,W,64,,,,,,,,,,,,,,17.0,14.0,,15.0,,,,,,,,,23.0,,,,,,,,24.0,,,22.0,,,,24.0,17.0,17.0,,,,,,,,,,,,,,,,,25.0,,24.0,,,
1350,6018,121,V,nebraska,69,-450,0.8181818181818182,12,L,66,,,,25.0,,,25.0,,,,,25.0,,22.0,,,,23.0,,,,,,,,,24.0,,,,22.0,,,,16.0,,,,,,,14.0,,24.0,23.0,22.0,,,,,,,,22.0,,,19.0,,,,,,,18.0,
1427,6369,126,H,nebraska,60,-310,0.7560975609756098,12,L,66,,,,25.0,,,25.0,,,,,25.0,,22.0,,,,23.0,,,,,,,,,24.0,,,,22.0,,,,16.0,,,,,,,14.0,,24.0,23.0,22.0,,,,,,,,22.0,,,19.0,,,,,,,18.0,
1370,6095,122,H,kansas-state,58,-145,0.5918367346938775,12,W,91,,23.0,25.0,,,21.0,,,,,,,,,,,19.0,,,,,16.0,,,24.0,,,,,,18.0,,,,,,20.0,,25.0,,,,18.0,17.0,,,,,24.0,23.0,18.0,24.0,,,16.0,,25.0,24.0,,,,,,,23.0
1440,6394,126,V,kansas-state,53,-200,0.6666666666666666,12,L,91,,23.0,25.0,,,21.0,,,,,,,,,,,19.0,,,,,16.0,,,24.0,,,,,,18.0,,,,,,20.0,,25.0,,,,18.0,17.0,,,,,24.0,23.0,18.0,24.0,,,16.0,,25.0,24.0,,,,,,,23.0
