,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
824,3229,107,H,arizona,82,-800,0.8888888888888888,9,W,13.0,19.0,18.0,18.0,18.0,18.0,17.0,18.0,15.0,17.0,15.0,20.0,13.0,17.0,19.0,17.0,17.0,19.0,16.0,17.0,17.0,16.0,12.0,,17.0,15.0,22.0,16.0,16.0,19.0,17.0,11.0,18.0,14.0,16.0,18.0,17.0,20.0,17.0,13.0,18.0,19.0,15.0,17.0,18.0,14.0,16.0,13.0,16.0,18.0,18.0,18.0,15.0,12.0,16.0,16.0,17.0,17.0,16.0,15.0,19.0,15.0,17.0,17.0,17.0
825,3238,107,V,nevada,105,120,0.45454545454545453,9,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,3240,107,V,san-diego-state,66,145,0.40816326530612246,9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,3277,107,H,tennessee-state,76,-300,0.75,9,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,3287,108,H,valparaiso,81,-2150,0.9555555555555556,9,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,3288,108,V,wisconsin,55,125,0.4444444444444444,9,L,10.0,15.0,16.0,14.0,9.0,13.0,10.0,13.0,14.0,8.0,13.0,15.0,12.0,11.0,8.0,15.0,12.0,11.0,11.0,9.0,14.0,14.0,10.0,,13.0,14.0,12.0,10.0,15.0,17.0,13.0,9.0,14.0,10.0,12.0,8.0,13.0,13.0,14.0,15.0,12.0,16.0,14.0,9.0,13.0,13.0,11.0,11.0,15.0,14.0,15.0,12.0,14.0,13.0,12.0,14.0,14.0,14.0,12.0,16.0,9.0,14.0,15.0,14.0,15.0
830,3289,108,H,purdue,66,-145,0.5918367346938775,9,W,17.0,16.0,24.0,19.0,25.0,20.0,19.0,19.0,19.0,21.0,19.0,14.0,17.0,19.0,21.0,25.0,20.0,22.0,13.0,19.0,21.0,18.0,21.0,,21.0,20.0,15.0,20.0,19.0,14.0,23.0,18.0,22.0,16.0,19.0,21.0,23.0,19.0,19.0,18.0,23.0,24.0,18.0,18.0,21.0,18.0,,15.0,20.0,17.0,24.0,25.0,19.0,16.0,20.0,19.0,21.0,25.0,18.0,18.0,20.0,25.0,21.0,21.0,18.0
831,3292,108,V,rutgers,62,425,0.19047619047619047,9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,3294,108,V,northwestern,74,-110,0.5238095238095238,9,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
833,3298,108,V,wichita-state,80,-550,0.8461538461538461,9,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,3305,108,H,connecticut,64,-125,0.5555555555555556,9,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,3306,108,V,ohio-state,68,200,0.3333333333333333,9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,3309,108,H,virginia,79,-850,0.8947368421052632,9,W,15.0,12.0,12.0,11.0,11.0,14.0,15.0,11.0,10.0,13.0,10.0,12.0,11.0,12.0,12.0,12.0,15.0,8.0,8.0,16.0,10.0,8.0,11.0,,11.0,11.0,10.0,13.0,10.0,11.0,10.0,12.0,9.0,20.0,14.0,17.0,7.0,10.0,13.0,10.0,11.0,9.0,7.0,11.0,9.0,7.0,12.0,5.0,12.0,10.0,10.0,16.0,13.0,11.0,14.0,12.0,11.0,11.0,8.0,17.0,13.0,10.0,9.0,8.0,12.0
837,3311,108,H,ucla,89,-4250,0.9770114942528736,9,W,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,,4.0,4.0,3.0,4.0,6.0,5.0,6.0,5.0,4.0,6.0,3.0,6.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,4.0,6.0,5.0,5.0,4.0,4.0,3.0,6.0,3.0,4.0,4.0,7.0,3.0,5.0,4.0,4.0,3.0,2.0
838,3312,108,V,california,74,105,0.4878048780487805,9,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,3313,108,H,usc,73,-125,0.5555555555555556,9,L,25.0,,25.0,,20.0,,25.0,,23.0,,,,25.0,25.0,,20.0,,,,24.0,,,,,,25.0,,,,,24.0,25.0,,,23.0,25.0,24.0,,,20.0,24.0,18.0,25.0,,,24.0,22.0,,25.0,,19.0,22.0,,24.0,25.0,25.0,,,,,,,,23.0,
840,3315,108,H,monmouth,71,-3000,0.967741935483871,9,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,3323,108,H,north-carolina,107,-1100,0.9166666666666666,9,W,14.0,14.0,13.0,13.0,13.0,11.0,12.0,14.0,25.0,16.0,17.0,11.0,14.0,13.0,14.0,18.0,13.0,12.0,15.0,13.0,13.0,13.0,14.0,,14.0,12.0,14.0,11.0,13.0,9.0,15.0,14.0,13.0,12.0,17.0,16.0,15.0,12.0,11.0,14.0,15.0,22.0,13.0,15.0,14.0,11.0,15.0,12.0,13.0,13.0,13.0,19.0,10.0,15.0,10.0,17.0,13.0,13.0,17.0,13.0,17.0,16.0,14.0,13.0,13.0
842,3330,109,V,arkansas-state,57,-185,0.6491228070175439,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,3336,110,V,baylor,68,210,0.3225806451612903,10,L,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
844,3337,110,H,west-virginia,89,-250,0.7142857142857143,10,W,9.0,12.0,11.0,12.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,,12.0,12.0,8.0,12.0,12.0,8.0,17.0,13.0,9.0,9.0,8.0,,10.0,10.0,9.0,11.0,10.0,8.0,11.0,14.0,11.0,17.0,11.0,13.0,7.0,14.0,,9.0,13.0,16.0,12.0,11.0,10.0,8.0,10.0,9.0,10.0,12.0,12.0,12.0,8.0,11.0,9.0,11.0,10.0,10.0,11.0,21.0,13.0,9.0,8.0,15.0,11.0
845,3338,110,V,syracuse,73,145,0.40816326530612246,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,3339,110,H,virginia-tech,83,-165,0.6226415094339622,10,W,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,3344,110,V,akron,89,-175,0.6363636363636364,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,3346,110,V,ohio,74,-125,0.5555555555555556,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,3354,110,V,kentucky,87,-900,0.9,10,W,6.0,6.0,3.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,,6.0,6.0,4.0,6.0,7.0,6.0,4.0,6.0,5.0,6.0,6.0,,5.0,6.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,7.0,,6.0,6.0,9.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,6.0,9.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,7.0,2.0
850,3355,110,H,vanderbilt,81,600,0.14285714285714285,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,3358,110,V,xavier,54,320,0.23809523809523808,10,L,16.0,19.0,14.0,13.0,12.0,18.0,16.0,14.0,17.0,14.0,14.0,,20.0,16.0,19.0,16.0,14.0,18.0,21.0,10.0,13.0,20.0,19.0,,15.0,14.0,17.0,16.0,16.0,19.0,16.0,15.0,14.0,10.0,13.0,16.0,14.0,17.0,,16.0,15.0,12.0,19.0,14.0,17.0,16.0,11.0,18.0,20.0,14.0,17.0,14.0,22.0,21.0,13.0,14.0,19.0,17.0,13.0,14.0,14.0,16.0,21.0,22.0,19.0
852,3359,110,H,villanova,79,-380,0.7916666666666666,10,W,3.0,2.0,6.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,,2.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,,2.0,3.0,2.0,3.0,2.0,2.0,6.0,5.0,2.0,4.0,3.0,6.0,3.0,4.0,,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,1.0
853,3360,110,V,duke,72,105,0.4878048780487805,10,L,7.0,7.0,10.0,7.0,7.0,6.0,7.0,7.0,9.0,8.0,7.0,,7.0,11.0,9.0,7.0,9.0,7.0,11.0,7.0,7.0,10.0,7.0,,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,9.0,7.0,10.0,6.0,,10.0,10.0,10.0,8.0,7.0,7.0,7.0,8.0,5.0,11.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,9.0,8.0,13.0,8.0,20.0
854,3361,110,H,florida-state,88,-125,0.5555555555555556,10,W,10.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,11.0,9.0,,10.0,8.0,10.0,8.0,6.0,10.0,12.0,8.0,8.0,8.0,9.0,,9.0,9.0,12.0,12.0,11.0,13.0,9.0,13.0,7.0,18.0,10.0,9.0,11.0,11.0,,8.0,7.0,7.0,7.0,8.0,8.0,10.0,9.0,17.0,12.0,8.0,8.0,10.0,15.0,9.0,16.0,10.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,6.0,13.0
855,3365,110,H,maryland,75,105,0.4878048780487805,10,W,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,25.0,,,,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,
856,3366,110,V,kansas,81,-1100,0.9166666666666666,10,W,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,,4.0,4.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,,3.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,,2.0,4.0,5.0,4.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,6.0
857,3367,110,H,oklahoma,70,700,0.125,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,3370,110,V,florida,80,-265,0.726027397260274,10,W,23.0,23.0,24.0,23.0,,21.0,22.0,23.0,21.0,23.0,23.0,,23.0,23.0,23.0,23.0,22.0,23.0,22.0,22.0,21.0,24.0,21.0,,23.0,17.0,20.0,23.0,22.0,21.0,24.0,23.0,22.0,21.0,23.0,23.0,20.0,23.0,,18.0,23.0,20.0,22.0,22.0,24.0,20.0,23.0,22.0,22.0,23.0,25.0,24.0,17.0,23.0,23.0,18.0,21.0,23.0,22.0,24.0,23.0,15.0,23.0,23.0,23.0
859,3373,110,H,arkansas,78,-600,0.8571428571428571,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,3376,110,V,kansas-state,65,165,0.37735849056603776,10,L,,,,25.0,,25.0,,,25.0,,,,25.0,25.0,,,,24.0,,,,25.0,,,,25.0,,,,25.0,23.0,25.0,,,,,25.0,,,,,,,,,,25.0,,,,,,,,25.0,,,,24.0,,,,,,25.0
861,3379,110,H,san-diego-state,76,-1100,0.9166666666666666,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,3390,111,V,south-carolina,70,-145,0.5918367346938775,10,W,,,,,,,25.0,,24.0,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,25.0,,,,,,,,,
863,3397,111,H,wichita-state,87,-1500,0.9375,10,W,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,3401,111,H,michigan-state,65,-170,0.6296296296296297,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,3402,111,V,dayton,55,-280,0.7368421052631579,10,L,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,
866,3408,111,V,pittsburgh,80,500,0.16666666666666666,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,3409,111,H,louisville,85,-700,0.875,10,W,12.0,13.0,17.0,19.0,15.0,12.0,14.0,20.0,16.0,13.0,19.0,,15.0,14.0,11.0,13.0,20.0,13.0,9.0,11.0,20.0,12.0,16.0,,13.0,22.0,10.0,13.0,15.0,15.0,15.0,17.0,17.0,11.0,12.0,15.0,9.0,12.0,,21.0,17.0,18.0,11.0,20.0,16.0,15.0,17.0,7.0,9.0,16.0,13.0,11.0,11.0,18.0,12.0,21.0,16.0,11.0,12.0,10.0,21.0,23.0,14.0,17.0,10.0
868,3410,111,V,seton-hall,86,200,0.3333333333333333,10,L,,,,,,,,,,25.0,,,,,24.0,,,,,,24.0,,,,,,,,,,,,,,,,,25.0,,,,,25.0,,,,,,,25.0,,,,,,,,,,,24.0,,25.0,,
869,3411,111,H,marquette,89,-240,0.7058823529411765,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,3412,111,V,north-carolina,93,-450,0.8181818181818182,10,W,11.0,15.0,13.0,11.0,9.0,10.0,11.0,12.0,23.0,15.0,12.0,,14.0,9.0,12.0,9.0,13.0,11.0,18.0,12.0,12.0,14.0,12.0,,11.0,11.0,14.0,9.0,13.0,9.0,12.0,11.0,10.0,9.0,15.0,10.0,15.0,9.0,,12.0,12.0,19.0,10.0,13.0,12.0,11.0,13.0,11.0,14.0,11.0,10.0,18.0,9.0,13.0,8.0,15.0,11.0,13.0,14.0,11.0,12.0,14.0,11.0,11.0,12.0
871,3416,111,V,tcu,64,110,0.47619047619047616,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,3417,111,H,texas,61,-130,0.5652173913043478,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,3418,111,V,illinois-state,60,-180,0.6428571428571429,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,3428,111,V,michigan,69,-130,0.5652173913043478,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,3432,111,V,butler,64,225,0.3076923076923077,10,L,18.0,10.0,5.0,9.0,19.0,17.0,12.0,11.0,10.0,12.0,10.0,,9.0,13.0,14.0,17.0,10.0,15.0,13.0,15.0,10.0,15.0,15.0,,12.0,12.0,13.0,14.0,14.0,10.0,13.0,9.0,9.0,15.0,18.0,11.0,12.0,13.0,,15.0,11.0,8.0,16.0,10.0,9.0,12.0,18.0,19.0,13.0,9.0,16.0,13.0,12.0,12.0,14.0,12.0,12.0,12.0,17.0,8.0,20.0,11.0,9.0,9.0,5.0
876,3433,111,H,creighton,75,-265,0.726027397260274,10,W,8.0,8.0,7.0,10.0,10.0,11.0,8.0,9.0,12.0,7.0,8.0,,8.0,7.0,7.0,10.0,8.0,9.0,7.0,9.0,11.0,7.0,13.0,,8.0,8.0,7.0,8.0,9.0,11.0,8.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,,7.0,8.0,6.0,9.0,9.0,11.0,9.0,7.0,14.0,8.0,10.0,6.0,9.0,13.0,8.0,10.0,9.0,8.0,9.0,10.0,13.0,7.0,10.0,10.0,10.0,9.0
877,3436,111,V,temple,59,105,0.4878048780487805,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,3437,111,H,connecticut,73,-125,0.5555555555555556,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,3438,111,V,iowa-state,96,155,0.39215686274509803,10,W,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,25.0,,,,25.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,25.0,,,,,,,24.0
880,3439,111,H,oklahoma-state,86,-175,0.6363636363636364,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,3455,112,H,rhode-island,75,-1000,0.9090909090909091,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,3456,112,V,clemson,63,-550,0.8461538461538461,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,25.0,,,,25.0,,,,,,,,,,,,,,,,,,25.0,,,
883,3458,112,V,notre-dame,67,155,0.39215686274509803,10,W,22.0,18.0,16.0,18.0,21.0,23.0,19.0,18.0,14.0,18.0,18.0,,22.0,20.0,18.0,20.0,16.0,21.0,15.0,17.0,18.0,23.0,22.0,,19.0,21.0,23.0,21.0,19.0,22.0,14.0,20.0,16.0,20.0,22.0,14.0,19.0,22.0,,19.0,16.0,15.0,20.0,18.0,20.0,21.0,22.0,23.0,15.0,15.0,19.0,23.0,18.0,16.0,19.0,20.0,14.0,19.0,19.0,15.0,15.0,19.0,18.0,13.0,21.0
884,3464,112,V,ohio-state,66,500,0.16666666666666666,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,3465,112,H,wisconsin,89,-700,0.875,10,W,15.0,17.0,15.0,20.0,16.0,20.0,20.0,13.0,20.0,17.0,16.0,,19.0,22.0,13.0,15.0,19.0,17.0,16.0,19.0,16.0,16.0,14.0,,14.0,19.0,16.0,15.0,20.0,17.0,22.0,16.0,21.0,12.0,17.0,18.0,13.0,19.0,,13.0,18.0,22.0,17.0,16.0,14.0,19.0,16.0,15.0,17.0,19.0,22.0,15.0,20.0,19.0,21.0,17.0,17.0,15.0,16.0,17.0,11.0,12.0,16.0,20.0,17.0
886,3478,112,V,valparaiso,78,-500,0.8333333333333334,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,3493,112,H,gonzaga,93,-3750,0.974025974025974,10,W,5.0,4.0,8.0,5.0,5.0,7.0,5.0,6.0,4.0,4.0,5.0,,3.0,3.0,6.0,5.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,,6.0,5.0,6.0,6.0,7.0,6.0,4.0,3.0,5.0,2.0,6.0,4.0,5.0,3.0,,5.0,2.0,3.0,3.0,4.0,6.0,3.0,5.0,8.0,5.0,4.0,5.0,5.0,7.0,6.0,4.0,6.0,5.0,5.0,3.0,7.0,5.0,6.0,6.0,4.0,8.0
888,3495,112,H,cincinnati,66,-230,0.696969696969697,10,W,21.0,22.0,21.0,22.0,20.0,22.0,23.0,22.0,18.0,21.0,22.0,,21.0,18.0,20.0,22.0,24.0,22.0,24.0,,23.0,22.0,23.0,,20.0,23.0,22.0,22.0,23.0,23.0,21.0,22.0,24.0,22.0,21.0,22.0,22.0,21.0,,23.0,22.0,24.0,23.0,23.0,21.0,23.0,21.0,21.0,23.0,22.0,23.0,19.0,23.0,22.0,22.0,24.0,23.0,22.0,23.0,23.0,22.0,20.0,20.0,,22.0
889,3497,112,H,byu,85,-1000,0.9090909090909091,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,3499,112,H,arizona,91,-2000,0.9523809523809523,10,W,17.0,20.0,19.0,16.0,18.0,16.0,17.0,16.0,13.0,19.0,17.0,,11.0,17.0,16.0,14.0,18.0,19.0,19.0,16.0,14.0,17.0,10.0,,17.0,13.0,21.0,17.0,17.0,18.0,17.0,10.0,15.0,14.0,14.0,20.0,17.0,20.0,,11.0,14.0,13.0,14.0,17.0,19.0,13.0,15.0,12.0,18.0,20.0,18.0,16.0,14.0,15.0,15.0,16.0,20.0,18.0,20.0,16.0,17.0,13.0,17.0,14.0,18.0
891,3500,112,V,purdue,78,-310,0.7560975609756098,10,L,20.0,16.0,23.0,15.0,22.0,15.0,18.0,17.0,15.0,16.0,15.0,,16.0,19.0,15.0,19.0,15.0,16.0,14.0,18.0,15.0,18.0,18.0,,18.0,18.0,15.0,19.0,18.0,16.0,19.0,18.0,20.0,13.0,16.0,17.0,24.0,18.0,,17.0,19.0,21.0,15.0,15.0,13.0,18.0,20.0,13.0,16.0,18.0,21.0,22.0,16.0,14.0,18.0,13.0,13.0,14.0,15.0,12.0,16.0,24.0,15.0,19.0,16.0
892,3502,112,V,northwestern,69,-270,0.7297297297297297,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,3503,112,H,rutgers,60,230,0.30303030303030304,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,3505,112,H,california,69,-900,0.9,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,3506,112,V,usc,64,180,0.35714285714285715,10,L,,24.0,,,,,,24.0,,,,,,,,,,,,24.0,,,,,,,,24.0,,,,,,,25.0,,,,,,,,,,25.0,25.0,,,,,24.0,,24.0,25.0,,,25.0,,,,,,,24.0,
896,3522,112,V,ucla,104,-250,0.7142857142857143,10,W,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,,5.0,5.0,3.0,3.0,3.0,4.0,2.0,5.0,4.0,2.0,1.0,,4.0,4.0,4.0,4.0,6.0,3.0,3.0,4.0,4.0,6.0,2.0,3.0,4.0,5.0,,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,6.0,5.0,3.0,4.0,4.0,3.0,6.0,2.0,4.0,4.0,6.0,3.0,4.0,4.0,4.0,3.0,3.0
897,3523,112,H,colorado,89,210,0.3225806451612903,10,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,3524,112,V,tennessee-state,63,-175,0.6363636363636364,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,3553,113,H,princeton,97,-2000,0.9523809523809523,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,3554,113,V,yale,68,-120,0.5454545454545454,10,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,3560,114,V,dayton,76,-550,0.8461538461538461,10,W,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,
902,3562,114,V,duke,69,150,0.4,10,L,7.0,7.0,10.0,7.0,7.0,6.0,7.0,7.0,9.0,8.0,7.0,,7.0,11.0,9.0,7.0,9.0,7.0,11.0,7.0,7.0,10.0,7.0,,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,9.0,7.0,10.0,6.0,,10.0,10.0,10.0,8.0,7.0,7.0,7.0,8.0,5.0,11.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,9.0,8.0,13.0,8.0,20.0
903,3563,114,H,louisville,78,-170,0.6296296296296297,10,W,12.0,13.0,17.0,19.0,15.0,12.0,14.0,20.0,16.0,13.0,19.0,,15.0,14.0,11.0,13.0,20.0,13.0,9.0,11.0,20.0,12.0,16.0,,13.0,22.0,10.0,13.0,15.0,15.0,15.0,17.0,17.0,11.0,12.0,15.0,9.0,12.0,,21.0,17.0,18.0,11.0,20.0,16.0,15.0,17.0,7.0,9.0,16.0,13.0,11.0,11.0,18.0,12.0,21.0,16.0,11.0,12.0,10.0,21.0,23.0,14.0,17.0,10.0
904,3564,114,V,virginia,77,-125,0.5555555555555556,10,W,13.0,14.0,12.0,17.0,14.0,19.0,15.0,19.0,19.0,20.0,20.0,,17.0,15.0,21.0,21.0,21.0,12.0,10.0,20.0,19.0,13.0,17.0,,22.0,16.0,11.0,18.0,12.0,14.0,18.0,19.0,18.0,23.0,19.0,19.0,18.0,15.0,,20.0,20.0,17.0,13.0,19.0,18.0,14.0,14.0,10.0,19.0,17.0,14.0,17.0,19.0,20.0,20.0,19.0,15.0,20.0,18.0,19.0,19.0,21.0,19.0,16.0,15.0
