,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
26,102,1111,V,arkansas-state,66,650,0.13333333333333333,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,107,1111,H,valparaiso,79,-6000,0.9836065573770492,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,113,1111,H,kansas-state,82,-3250,0.9701492537313433,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,115,1111,H,colorado,90,-4250,0.9770114942528736,1,W,,,,,,,19.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,25.0,,,
30,119,1111,H,california,82,-900,0.9,1,W,,,23.0,24.0,,,,,,,,,,20.0,,,,24.0,25.0,,25.0,,,,,,21.0,,,,,,,,,,,,20.0,23.0,,23.0,,,24.0,,24.0,,,,18.0,24.0,,,,,22.0,11.0,,,,,,,17.0
31,123,1111,H,usc,75,-700,0.875,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,125,1111,H,villanova,88,NL,0.5,1,W,1.0,3.0,3.0,4.0,6.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,5.0,4.0,9.0,5.0,3.0,5.0,4.0,2.0,3.0,1.0,7.0,4.0,3.0,2.0,3.0,2.0,4.0,6.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,7.0,3.0,3.0,4.0,1.0,2.0,3.0,5.0
33,127,1111,H,kentucky,87,-4500,0.9782608695652174,1,W,4.0,2.0,4.0,2.0,4.0,7.0,2.0,5.0,2.0,4.0,7.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,7.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,3.0
34,129,1111,H,maryland,62,-4500,0.9782608695652174,1,W,22.0,,22.0,,,,,22.0,20.0,24.0,,24.0,24.0,19.0,20.0,21.0,24.0,,,,,,,,25.0,21.0,,25.0,,,19.0,,,,17.0,21.0,,,,20.0,18.0,,,23.0,17.0,21.0,,,23.0,23.0,,,,,17.0,,,,17.0,19.0,,16.0,,,
35,133,1111,H,oregon,91,-42000,0.997624703087886,1,W,7.0,5.0,11.0,5.0,3.0,5.0,4.0,6.0,6.0,2.0,5.0,5.0,3.0,3.0,2.0,6.0,6.0,5.0,4.0,6.0,6.0,3.0,4.0,4.0,4.0,5.0,4.0,6.0,8.0,5.0,8.0,5.0,5.0,4.0,9.0,5.0,3.0,4.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,4.0,5.0,6.0,4.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,11.0,6.0,2.0,9.0,1.0,2.0,9.0
36,142,1112,V,akron,82,-430,0.8113207547169812,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,145,1112,N,tennessee-state,69,-600,0.8571428571428571,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,151,1112,H,butler,89,-16000,0.9937888198757764,1,W,,,,25.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,24.0,,,,
39,159,1113,H,rutgers,87,-650,0.8666666666666667,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,168,1113,V,yale,98,900,0.1,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,171,1113,H,wichita-state,92,-600,0.8571428571428571,1,W,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,25.0,,,,,,,18.0,,,,23.0,22.0
42,173,1113,H,ucla,102,NL,0.5,1,W,20.0,18.0,20.0,17.0,11.0,,13.0,21.0,21.0,19.0,,19.0,18.0,18.0,19.0,12.0,10.0,18.0,19.0,17.0,10.0,8.0,15.0,15.0,12.0,24.0,18.0,17.0,14.0,23.0,,11.0,18.0,15.0,21.0,23.0,7.0,19.0,10.0,15.0,21.0,15.0,18.0,21.0,,13.0,10.0,18.0,17.0,18.0,25.0,15.0,15.0,13.0,21.0,11.0,17.0,,,,16.0,24.0,16.0,25.0,14.0
43,178,1113,V,tennessee-state,69,-130,0.5652173913043478,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,185,1113,H,michigan,77,-2500,0.9615384615384616,1,W,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,195,1113,H,north-carolina,97,-2500,0.9615384615384616,1,W,9.0,7.0,5.0,6.0,8.0,3.0,6.0,4.0,5.0,6.0,6.0,8.0,6.0,5.0,8.0,5.0,4.0,6.0,8.0,4.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,4.0,5.0,4.0,5.0,7.0,7.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,7.0,6.0,6.0,6.0,5.0,6.0,9.0,6.0,7.0,5.0,9.0,5.0,3.0,5.0,4.0,6.0,5.0,7.0,5.0,7.0
46,197,1113,H,kentucky,93,-33000,0.9969788519637462,1,W,4.0,2.0,4.0,2.0,4.0,7.0,2.0,5.0,2.0,4.0,7.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,7.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,3.0
47,201,1113,H,usc,82,-900,0.9,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,203,1113,H,florida,76,-4000,0.975609756097561,1,W,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,20.0,,,24.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,207,1113,H,seton-hall,82,-21500,0.9953703703703703,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,23.0,,
50,209,1113,H,south-carolina,81,-900,0.9,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
