,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
31,111,1110,H,arizona-state,94,-4250,0.9770114942528736,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,113,1110,H,seton-hall,90,-7000,0.9859154929577465,1,W,,24.0,19.0,17.0,16.0,22.0,15.0,,25.0,21.0,18.0,,19.0,23.0,24.0,19.0,24.0,16.0,20.0,19.0,,23.0,,21.0,25.0,,11.0,,18.0,16.0,18.0,,21.0,19.0,21.0,21.0,23.0,24.0,,17.0,23.0,16.0,,,24.0,,24.0,,15.0,,21.0,24.0,,20.0,18.0,18.0,22.0,24.0,17.0,,19.0,24.0,,21.0,25.0,,
33,115,1110,H,kentucky,73,-4000,0.975609756097561,1,W,5.0,5.0,7.0,5.0,7.0,6.0,4.0,7.0,6.0,3.0,8.0,6.0,5.0,7.0,7.0,5.0,2.0,7.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,8.0,5.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0,5.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,7.0,7.0,5.0,4.0,5.0,6.0,4.0,4.0,,
34,117,1110,H,michigan-state,98,-42000,0.997624703087886,1,W,3.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,6.0,1.0,2.0,3.0,8.0,3.0,2.0,1.0,6.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,6.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,,
35,119,1110,H,purdue,105,-25000,0.9960159362549801,1,W,19.0,,17.0,15.0,,16.0,16.0,20.0,23.0,19.0,21.0,20.0,11.0,18.0,16.0,20.0,14.0,18.0,24.0,13.0,24.0,20.0,22.0,20.0,24.0,15.0,16.0,23.0,20.0,,13.0,11.0,,24.0,22.0,22.0,15.0,19.0,17.0,19.0,22.0,19.0,24.0,22.0,21.0,24.0,21.0,23.0,17.0,18.0,,23.0,21.0,,22.0,,23.0,23.0,23.0,,16.0,22.0,25.0,,19.0,,
36,124,1111,V,notre-dame,72,-450,0.8181818181818182,1,W,12.0,19.0,9.0,18.0,10.0,14.0,14.0,11.0,13.0,15.0,10.0,10.0,17.0,16.0,13.0,18.0,15.0,11.0,14.0,15.0,9.0,9.0,15.0,15.0,14.0,18.0,18.0,17.0,14.0,12.0,17.0,12.0,13.0,12.0,13.0,10.0,11.0,11.0,11.0,11.0,14.0,22.0,15.0,12.0,13.0,12.0,15.0,12.0,11.0,12.0,18.0,16.0,14.0,12.0,17.0,11.0,15.0,12.0,12.0,13.0,14.0,9.0,12.0,17.0,10.0,,
37,135,1111,H,buffalo,80,-550,0.8461538461538461,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,145,1111,H,nebraska,72,-800,0.8888888888888888,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,149,1111,H,unlv,108,NL,0.5,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,151,1112,H,harvard,70,-330,0.7674418604651163,1,W,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
