,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
26,112,1113,V,western-illinois,69.0,NL,0.5,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,113,1113,H,wisconsin,67.0,NL,0.5,1,L,14.0,16.0,23.0,,20.0,22.0,17.0,21.0,9.0,,17.0,21.0,22.0,20.0,,14.0,22.0,,17.0,,18.0,20.0,,,18.0,21.0,,14.0,17.0,21.0,17.0,21.0,16.0,18.0,18.0,17.0,19.0,19.0,19.0,15.0,12.0,24.0,16.0,17.0,19.0,18.0,22.0,17.0,,16.0,20.0,19.0,12.0,24.0,16.0,14.0,13.0,23.0,17.0,17.0,17.0,,15.0,23.0,23.0,
28,116,1113,V,boise-state,72.0,-225,0.6923076923076923,1,L,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,
29,122,1113,V,monmouth,84.0,905,0.09950248756218906,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,123,1113,H,ucla,81.0,-1255,0.9261992619926199,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,25.0,,,,,,,,,,
31,125,1113,H,west-virginia,107.0,NL,0.5,1,W,20.0,,,,,,23.0,,,,,22.0,,,,22.0,,,,,,,,,,22.0,,23.0,22.0,,,,,,22.0,,21.0,,,21.0,17.0,19.0,,,,,,,,22.0,21.0,,,15.0,,24.0,,,,24.0,,,24.0,,,
32,126,1113,V,florida,59.0,-1170,0.9212598425196851,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,127,1113,H,navy,41.0,770,0.11494252873563218,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,129,1113,H,kentucky,78.0,NL,0.5,1,W,1.0,2.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,3.0,8.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,
35,133,1113,H,maryland,80.0,NL,0.5,1,W,7.0,4.0,2.0,2.0,3.0,1.0,5.0,3.0,5.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,1.0,6.0,5.0,2.0,2.0,5.0,2.0,7.0,6.0,5.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,5.0,3.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,6.0,5.0,7.0,3.0,2.0,3.0,2.0,5.0,5.0,6.0,
